"group","subj","sex","age","year","month","sample_number","date","time","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","neo_sg"
"gn","renl","M",2.29979466119096,2015,8,25,2015-08-21,2022-02-22 10:17:00,0.54,28,"aug","robe",2013-04-27,1.834360027,2015-08-15,13.233,6.3,1,40,2018-01-11,"",0.957189390414146,506.659488134016
"gn","dann","M",2.53251197809719,2015,8,26,2015-08-21,2022-02-22 10:22:00,0.39,35,"aug","daff",2013-02-01,1.552361396,2015-08-15,6.293,0.8,1,40,2018-01-11,"",0.765751512331317,192.754970684039
"twn","safi","F",2.46680355920602,2015,8,27,2015-08-21,2022-02-22 12:47:00,0.39,31,"aug","saph",2013-02-25,1.741273101,2015-08-15,8.517,10.6,17,40,2018-05-15,"",0.864558159083745,294.53767363665
"twn","pam","F",2.43668720054757,2015,8,28,2015-08-24,2022-02-22 09:34:00,0.12,6,"aug","park",2013-03-08,1.796030116,2015-08-15,4.917,7.5,17,40,2018-05-15,"",4.46688382193268,878.54671009772
"tws","bong","M",2.28062970568104,2015,8,29,2015-08-24,2022-02-22 08:50:00,0.46,27,"aug","bonn",2013-05-04,1.971252567,2015-08-15,8.707,10.6,18,40,2018-05-15,"",0.992640849318374,345.716955000603
"gn","ropa","M",5.65092402464066,2015,8,30,2015-08-24,2022-02-22 16:04:00,0.62,23,"aug","robe",2009-12-20,3.529089665,2015-08-15,9.796,3.6,1,10,2018-01-11,"",1.16527404050418,114.150245007789
"gn","pira","M",4.54757015742642,2015,8,31,2015-08-25,2022-02-22 08:30:00,0.12,7,"aug","pinc",2011-01-27,1.35797399,2015-08-15,1.028,1.7,5,40,2018-01-25,"",3.82875756165658,157.438510935319
"tws","peke","M",4.62422997946612,2015,8,32,2015-08-25,2022-02-22 10:57:00,0.59,26,"aug","pans",2010-12-30,2.814510609,2015-08-15,8.108,6,7,40,2018-04-17,"",1.03081934352293,334.315329491355
"tws","blas","M",3.53182751540041,2015,8,33,2015-08-25,2022-02-22 11:13:00,0.84,29,"aug","blaz",2012-02-02,1.817932923,2015-08-15,3.564,10.2,18,40,2018-05-15,"",0.92418285971021,131.751508480288
"tws","tatu","M",6.4558521560575,2015,8,34,2015-08-25,2022-02-22 12:15:00,0.17,7,"aug","twin",2009-03-01,2.945927447,2015-08-15,3.224,0.9,18,10,2018-05-15,"",3.82875756165658,123.439143787808
"tws","fris","M",6.46406570841889,2015,8,35,2015-08-26,2022-02-22 12:51:00,0.58,24,"aug","flet",2009-02-26,1.418206708,2015-08-15,21.915,3.5,7,40,2018-04-17,"",1.11672095548317,978.917589576547
"tws","tatu","M",6.4558521560575,2015,8,36,2015-08-26,2022-02-22 10:44:00,1.03,38,"aug","twin",2009-03-01,2.945927447,2015-08-15,28.901,5.2,7,40,2018-04-17,"",0.705297445568318,815.352058974799
"twn","pam","F",2.43668720054757,2015,8,37,2015-08-26,2022-02-22 10:47:00,0.35,21,"aug","park",2013-03-08,1.796030116,2015-08-15,NA,NA,NA,NA,NA,NA,1.27625252055219,NA
"tws","burn","F",6.45859000684463,2015,8,38,2015-08-27,2022-02-22 17:10:00,1.14,50,"aug","blaz",2009-02-28,2.247775496,2015-08-15,28.691,8.8,7,40,2018-04-17,"",0.536026058631922,615.164945928339
"tws","dame","F",3.60301163586585,2015,8,39,2015-08-27,2022-02-22 15:22:00,0.91,44,"aug","dixi",2012-01-07,1.869952088,2015-08-15,15.407,9.2,7,40,2018-04-17,"",0.609120521172638,375.388794788274
"tws","peke","M",4.62422997946612,2015,8,40,2015-08-27,2022-02-22 17:47:00,0.91,42,"aug","pans",2010-12-30,2.814510609,2015-08-15,32.744,1,7,40,2018-04-17,"",0.638126260276097,835.792250659221
"tws","brog","F",6.57631759069131,2015,8,41,2015-08-27,2022-02-22 17:10:00,1.05,44,"aug","bow",2009-01-16,2.516084873,2015-08-15,23.087,7.9,7,40,2018-04-17,"",0.609120521172638,562.510618892508
"twn","keny","M",5.51676933607118,2015,8,42,2015-08-28,2022-02-22 10:39:00,0.84,26,"aug","kayl",2010-02-07,2.453114305,2015-08-15,14.161,4.1,7,40,2018-04-17,"",1.03081934352293,583.897308945126
"twn","onyx","M",2.507871321013,2015,8,43,2015-08-28,2022-02-22 10:42:00,0.65,38,"aug","opal",2013-02-10,1.631759069,2015-08-15,14.551,12.3,7,40,2018-04-17,"",0.705297445568318,410.511325218584
"tws","brog","F",6.57631759069131,2015,8,44,2015-08-28,2022-02-22 12:01:00,0.65,24,"aug","bow",2009-01-16,2.516084873,2015-08-15,14.562,17.8,7,40,2018-04-17,"",1.11672095548317,650.467622149837
"tws","peke","M",4.62422997946612,2015,8,45,2015-08-28,2022-02-22 12:24:00,0.84,32,"aug","pans",2010-12-30,2.814510609,2015-08-15,9.056,11.5,18,80,2018-05-15,"",0.837540716612378,606.781498371335
"tws","dubl","M",6.44490075290897,2015,8,46,2015-08-31,2022-02-22 12:05:00,0.63,11,"aug","dixi",2009-03-05,2.321697467,2015-08-15,11.924,8,7,40,2018-04-17,"",2.43648208469055,1162.10449511401
"gn","spor","F",1.9356605065024,2015,8,47,2015-08-31,2022-02-22 11:21:00,0.49,27,"aug","spik",2013-09-07,2.168377823,2015-08-15,8.266,12.6,1,40,2018-01-11,"",0.992640849318374,328.206770418627
"gn","stre","F",6.53251197809719,2015,9,48,2015-09-01,2022-02-22 11:37:00,0.57,21,"sep","sput",2009-03-04,3.06091718,2015-09-15,10.63,6.5,1,40,2018-01-11,"",1.27625252055219,542.662571738793
"twn","davi","F",2.01505817932923,2015,9,49,2015-09-01,2022-02-22 11:42:00,0.4,16,"sep","didg",2013-09-09,1.349760438,2015-09-15,1.593,0.6,18,40,2018-05-15,"",1.67508143322476,106.736188925081
"twn","ruki","M",4.56399726214921,2015,9,50,2015-09-01,2022-02-22 15:03:00,0.8,22,"sep","rave",2011-02-21,2.770704997,2015-09-15,7.707,10.3,7,40,2018-04-17,"",1.21824104234528,375.559348534202
"tws","dame","F",3.68788501026694,2015,9,51,2015-09-02,2022-02-22 12:14:00,0.37,14,"sep","dixi",2012-01-07,1.869952088,2015-09-15,3.122,13.4,7,40,2018-04-17,"",1.91437878082829,239.067622149837
"tws","brav","M",2.46954140999316,2015,9,52,2015-09-02,2022-02-22 15:16:00,1.29,42,"sep","bow",2013-03-27,3.370294319,2015-09-15,47.511,2.6,7,40,2018-04-17,"",0.638126260276097,1212.72067007911
"gn","stre","F",6.53251197809719,2015,9,53,2015-09-03,2022-02-22 10:06:00,0.66,17,"sep","sput",2009-03-04,3.06091718,2015-09-15,6.51,3.3,4,40,2018-01-25,"",1.57654723127036,410.532899022801
"twn","keny","M",5.60164271047228,2015,9,54,2015-09-03,2022-02-22 09:24:00,0.33,15,"sep","kayl",2010-02-07,2.453114305,2015-09-15,6.001,5.5,7,40,2018-04-17,"",1.78675352877307,428.892317046688
