,group,subj,date,time,sample_number,Cr,SG,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,stdsg_CP,cp_note,month,year,sex,age,month.name,mum,bday,weaning,mid,neo_value,CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,neo_sg,month_name,pl,gmd,gm,r,n_agg_g,n_agg_r,n_obs
146,tws,bong,2015-08-24,2021-12-30 08:50:00,29,0.46,27.0,2.0,2016-10-27,10.0,3.0,11/16/16,1887.77,3.0,2792.284753,1872.990711,,8,2015,M,2.28062970568104,aug,bonn,2013-05-04,1.971252567,2015-08-15,8.707,10.6,18.0,40.0,2018-05-15,,0.992640849318374,345.716955000603,aug,0.0055555555555555,0.0,0.0055555555555555,0.411111111111111,0,1,180
147,gn,ropa,2015-08-24,2021-12-30 16:04:00,30,0.62,23.0,2.0,2016-10-27,10.0,3.0,11/16/16,58418.8,3.0,64110.53464,68041.69176,,8,2015,M,5.65092402464066,aug,robe,2009-12-20,3.529089665,2015-08-15,9.796,3.6,1.0,10.0,2018-01-11,,1.16527404050418,114.150245007789,aug,0.0,0.0,0.0,0.25,4,4,180
148,tws,peke,2015-08-25,2021-12-30 10:57:00,32,0.59,26.0,2.0,2016-10-27,10.0,3.0,11/16/16,8927.69,4.0,10295.69211,9198.479847,,8,2015,M,4.62422997946612,aug,pans,2010-12-30,2.814510609,2015-08-15,8.108,6.0,7.0,40.0,2018-04-17,,1.03081934352293,334.315329491355,aug,0.0446927374301676,0.0111731843575419,0.0055865921787709,0.452513966480447,0,3,179
149,tws,blas,2015-08-25,2021-12-30 11:13:00,33,0.84,29.0,2.0,2016-10-27,10.0,3.0,11/16/16,5225.77,4.0,4232.914163,4827.281231,,8,2015,M,3.53182751540041,aug,blaz,2012-02-02,1.817932923,2015-08-15,3.564,10.2,18.0,40.0,2018-05-15,,0.92418285971021,131.751508480288,aug,0.0,0.0,0.0,0.411111111111111,0,2,180
150,tws,fris,2015-08-26,2021-12-30 12:51:00,35,0.58,24.0,2.0,2016-10-27,10.0,3.0,11/16/16,3188.8,4.0,3740.828035,3559.314363,,8,2015,M,6.46406570841889,aug,flet,2009-02-26,1.418206708,2015-08-15,21.915,3.5,7.0,40.0,2018-04-17,,1.11672095548317,978.917589576547,aug,0.0111731843575419,0.0,0.0167597765363128,0.597765363128492,1,1,179
151,twn,keny,2015-08-28,2021-12-30 10:39:00,42,0.84,26.0,2.0,2016-10-27,10.0,3.0,11/16/16,3765.0,4.0,3049.679152,3879.197936,,8,2015,M,5.51676933607118,aug,kayl,2010-02-07,2.453114305,2015-08-15,14.161,4.1,7.0,40.0,2018-04-17,,1.03081934352293,583.897308945126,aug,0.065,0.0,0.0,0.315,1,1,200
152,tws,brog,2015-08-28,2021-12-30 12:01:00,44,0.65,24.0,2.0,2016-10-27,10.0,3.0,11/16/16,2425.29,4.0,2538.743216,2707.090295,,8,2015,F,6.57631759069131,aug,bow,2009-01-16,2.516084873,2015-08-15,14.562,17.8,7.0,40.0,2018-04-17,,1.11672095548317,650.467622149837,aug,0.0,0.0,0.05,0.505,0,3,200
153,tws,peke,2015-08-28,2021-12-30 12:24:00,45,0.84,32.0,2.0,2016-10-27,10.0,3.0,11/16/16,5202.92,4.0,4214.405486,4355.594868,,8,2015,M,4.62422997946612,aug,pans,2010-12-30,2.814510609,2015-08-15,9.056,11.5,18.0,80.0,2018-05-15,,0.837540716612378,606.781498371335,aug,0.0446927374301676,0.0111731843575419,0.0055865921787709,0.452513966480447,0,3,179
154,gn,spor,2015-08-31,2021-12-30 11:21:00,47,0.49,27.0,2.0,2016-10-27,10.0,3.0,11/16/16,2955.06,4.0,4103.35111,2931.924932,,8,2015,F,1.9356605065024,aug,spik,2013-09-07,2.168377823,2015-08-15,8.266,12.6,1.0,40.0,2018-01-11,,0.992640849318374,328.206770418627,aug,0.0,0.0220994475138122,0.0,0.49171270718232,0,0,181
155,twn,ruki,2015-09-01,2021-12-30 15:03:00,50,0.8,22.0,2.0,2016-10-27,10.0,3.0,11/16/16,1310.38,4.0,1114.488843,1595.603141,,9,2015,M,4.56399726214921,sep,rave,2011-02-21,2.770704997,2015-09-15,7.707,10.3,7.0,40.0,2018-04-17,,1.21824104234528,375.559348534202,sep,0.0566666666666667,0.0,0.01,0.28,1,2,300
156,twn,amos,2015-09-04,2021-12-30 12:49:00,55,0.64,27.0,2.0,2016-10-27,10.0,3.0,11/16/16,2537.27,4.0,2697.460954,2517.405796,,9,2015,M,5.57700205338809,sep,ambe,2010-02-16,2.650239562,2015-09-15,21.388,3.1,7.0,40.0,2018-04-17,,0.992640849318374,849.224099408855,sep,0.0433333333333333,0.0066666666666666,0.0066666666666666,0.34,0,0,300
157,tws,burn,2015-09-04,2021-12-30 11:48:00,57,0.54,23.0,2.0,2016-10-27,10.0,3.0,11/16/16,2549.04,4.0,3211.821102,2968.924284,,9,2015,F,6.54346338124572,sep,blaz,2009-02-28,2.247775496,2015-09-15,6.38,7.2,7.0,40.0,2018-04-17,,1.16527404050418,297.377935136666,sep,0.0,0.0,0.02,0.3,2,5,300
158,gn,ropa,2015-09-07,2021-12-30 13:40:00,60,0.51,33.0,2.0,2016-10-27,10.0,3.0,11/16/16,4051.68,4.0,5405.46946,3289.057797,,9,2015,M,5.73579739904175,sep,robe,2009-12-20,3.529089665,2015-09-15,10.736,10.8,1.0,40.0,2018-01-11,,0.812160694896851,348.774288816504,sep,0.0066666666666666,0.0766666666666667,0.0333333333333333,0.406666666666667,2,1,300
159,gn,renl,2015-09-07,2021-12-30 14:05:00,63,0.46,25.0,2.0,2016-10-27,10.0,3.0,11/16/16,2101.63,4.0,3108.614611,2251.99052,,9,2015,M,2.38466803559206,sep,robe,2013-04-27,1.834360027,2015-09-15,7.988,7.9,1.0,40.0,2018-01-11,,1.07205211726384,342.542092508143,sep,0.0,0.04,0.01,0.356666666666667,1,0,300
160,twn,petr,2015-09-07,2021-12-30 11:30:00,65,0.84,33.0,2.0,2016-10-27,10.0,3.0,11/16/16,9282.2,4.0,7518.653871,7535.069968,,9,2015,F,5.45106091718001,sep,park,2010-04-03,2.565366188,2015-09-15,24.033,14.3,8.0,40.0,2018-04-25,,0.812160694896851,780.746319218241,sep,0.0,0.0535117056856187,0.0702341137123746,0.25752508361204,0,0,299
161,gn,renl,2015-09-08,2021-12-30 10:44:00,67,0.31,23.0,2.0,2016-10-27,10.0,3.0,11/16/16,1651.78,4.0,3625.42534,1923.865359,,9,2015,M,2.38466803559206,sep,robe,2013-04-27,1.834360027,2015-09-15,7.16,4.2,1.0,40.0,2018-01-11,,1.16527404050418,333.734485200397,sep,0.0,0.04,0.01,0.356666666666667,1,0,300
162,gn,mole,2015-09-09,2021-12-30 11:56:00,70,0.32,23.0,2.0,2016-10-27,10.0,3.0,11/16/16,2316.9,4.0,4926.355716,2698.545599,,9,2015,F,2.41478439425051,sep,merl,2013-04-16,1.467488022,2015-09-15,7.693,4.6,6.0,20.0,2018-01-26,,1.16527404050418,179.289063871973,sep,0.0033333333333333,0.0266666666666667,0.0666666666666667,0.253333333333333,0,2,300
163,gn,spor,2015-09-14,2021-12-30 09:40:00,75,0.79,31.0,2.0,2016-10-27,10.0,3.0,11/16/16,54404.6,4.0,46857.2705,47013.67873,,9,2015,F,2.02053388090349,sep,spik,2013-09-07,2.168377823,2015-09-15,,,,,,,0.864558159083745,,sep,0.0,0.112956810631229,0.0199335548172757,0.299003322259136,0,0,301
164,tws,tatu,2015-09-16,2021-12-30 11:21:00,78,1.64,31.0,2.0,2016-10-27,10.0,3.0,11/16/16,13507.6,4.0,5604.060301,11672.57855,,9,2015,M,6.54072553045859,sep,twin,2009-03-01,2.945927447,2015-09-15,22.908,8.4,8.0,40.0,2018-04-25,,0.864558159083745,792.211932331617,sep,0.0,0.0166666666666667,0.0033333333333333,0.443333333333333,1,0,300
165,tws,bike,2015-09-17,2021-12-30 12:30:00,80,0.71,31.0,2.0,2016-10-27,10.0,3.0,11/16/16,15213.5,4.0,14579.38641,13146.73026,,9,2015,M,6.47227926078029,sep,bif,2009-03-26,2.264202601,2015-09-15,,,,,,,0.864558159083745,,sep,0.0066666666666666,0.0166666666666667,0.01,0.416666666666667,1,2,300
166,twn,petr,2015-09-17,2021-12-30 12:38:00,81,0.33,23.0,2.0,2016-10-27,10.0,3.0,11/16/16,5212.01,4.0,10746.31971,6070.545405,,9,2015,F,5.45106091718001,sep,park,2010-04-03,2.565366188,2015-09-15,,,,,,,1.16527404050418,,sep,0.0,0.0535117056856187,0.0702341137123746,0.25752508361204,0,0,299
167,tws,atom,2015-09-17,2021-12-30 16:17:00,82,0.86,30.0,2.0,2016-10-27,10.0,3.0,11/16/16,4697.81,4.0,3716.767999,4194.9279,,9,2015,F,6.56262833675565,sep,arte,2009-02-21,2.795345654,2015-09-15,7.535,2.2,8.0,40.0,2018-04-25,,0.893376764386536,269.263756786102,sep,0.0,0.04,0.0233333333333333,0.413333333333333,0,4,300
168,tws,bong,2015-09-18,2021-12-30 12:20:00,86,0.64,25.0,2.0,2016-10-27,10.0,3.0,11/16/16,3042.88,4.0,3234.992724,3260.581984,,9,2015,M,2.36550308008214,sep,bonn,2013-05-04,1.971252567,2015-09-15,9.992,4.8,8.0,40.0,2018-04-25,,1.07205211726384,428.477790228013,sep,0.03,0.02,0.0,0.276666666666667,4,2,300
169,tws,boyd,2015-09-22,2021-12-30 11:11:00,87,0.66,30.0,2.0,2016-10-27,10.0,3.0,11/16/16,2544.74,4.0,2623.420678,2272.335583,,9,2015,F,3.44695414099932,sep,buai,2012-04-04,2.740588638,2015-09-15,3.039,0.9,8.0,40.0,2018-04-25,,0.893376764386536,108.598879478827,sep,0.0133333333333333,0.0333333333333333,0.0233333333333333,0.35,1,8,300
170,twn,ruki,2015-09-22,2021-12-30 11:40:00,88,0.89,32.0,2.0,2016-10-27,10.0,3.0,11/16/16,2205.19,4.0,1685.871482,1846.062259,,9,2015,M,4.56399726214921,sep,rave,2011-02-21,2.770704997,2015-09-15,8.202,6.1,18.0,40.0,2018-05-15,,0.837540716612378,274.780358306189,sep,0.0566666666666667,0.0,0.01,0.28,1,2,300
171,twn,safi,2015-09-22,2021-12-30 11:40:00,89,0.74,33.0,2.0,2016-10-27,10.0,3.0,11/16/16,4025.09,4.0,3700.942453,3267.472666,,9,2015,F,2.55167693360712,sep,saph,2013-02-25,1.741273101,2015-09-15,6.395,5.3,8.0,40.0,2018-04-25,,0.812160694896851,207.750705754615,sep,0.0,0.01875,0.08125,0.2875,1,1,320
172,tws,fris,2015-09-24,2021-12-30 11:45:00,90,0.8,26.0,2.0,2016-10-27,10.0,3.0,11/16/16,7779.87,4.0,6616.842686,8015.844794,,9,2015,M,6.54893908281999,sep,flet,2009-02-26,1.418206708,2015-09-15,5.511,20.8,8.0,40.0,2018-04-25,,1.03081934352293,227.233816086194,sep,0.0,0.012448132780083,0.037344398340249,0.493775933609959,5,10,241
173,tws,boyd,2015-09-25,2021-12-30 14:55:00,91,0.59,31.0,2.0,2016-10-27,10.0,3.0,11/16/16,3416.47,4.0,3939.980354,2952.339011,,9,2015,F,3.44695414099932,sep,buai,2012-04-04,2.740588638,2015-09-15,4.753,11.4,8.0,40.0,2018-04-25,,0.864558159083745,164.369797205002,sep,0.0133333333333333,0.0333333333333333,0.0233333333333333,0.35,1,8,300
174,tws,bong,2015-09-28,2021-12-30 09:43:00,92,0.58,22.0,2.0,2016-10-27,10.0,3.0,11/16/16,4634.7,4.0,5437.034525,5643.509424,,9,2015,M,2.36550308008214,sep,bonn,2013-05-04,1.971252567,2015-09-15,3.744,20.1,8.0,40.0,2018-04-25,,1.21824104234528,182.443778501629,sep,0.03,0.02,0.0,0.276666666666667,4,2,300
175,tws,bike,2015-09-28,2021-12-30 10:00:00,95,0.61,29.0,2.0,2016-10-27,10.0,3.0,11/16/16,7286.56,4.0,8127.578387,6730.926605,,9,2015,M,6.47227926078029,sep,bif,2009-03-26,2.264202601,2015-09-15,2.014,17.3,8.0,40.0,2018-04-25,,0.92418285971021,74.4521711782545,sep,0.0066666666666666,0.0166666666666667,0.01,0.416666666666667,1,2,300
176,gn,pira,2015-09-29,2021-12-30 16:10:00,101,0.88,32.0,3.0,2016-10-28,10.0,3.0,11/16/16,4019.41,4.0,3107.764439,3364.826207,,9,2015,M,4.63244353182752,sep,pinc,2011-01-27,1.35797399,2015-09-15,19.701,3.3,1.0,40.0,2018-01-11,,0.837540716612378,660.015586319218,sep,0.0,0.0,0.0,0.293333333333333,3,6,300
177,twn,allo,2015-09-30,2021-12-30 09:01:00,102,0.38,30.0,3.0,2016-10-28,10.0,3.0,11/16/16,3783.27,4.0,6774.109249,3378.285813,,9,2015,M,2.43394934976044,sep,ambe,2013-04-09,3.394934976,2015-09-15,5.121,10.5,8.0,40.0,2018-04-25,,0.893376764386536,182.999296416938,sep,0.0838926174496644,0.0067114093959731,0.0,0.231543624161074,0,3,298
178,gn,spad,2015-09-30,2021-12-30 09:52:00,103,0.44,36.0,3.0,2016-10-28,10.0,3.0,11/16/16,3820.11,4.0,5907.33566,2842.651863,,9,2015,F,5.65639972621492,sep,spik,2010-01-18,2.258726899,2015-09-15,7.087,12.5,1.0,40.0,2018-01-11,,0.74448063698878,211.045370973579,sep,0.0,0.0866666666666667,0.0733333333333333,0.293333333333333,1,0,300
179,gn,dann,2015-09-30,2021-12-30 10:50:00,104,0.52,26.0,3.0,2016-10-28,10.0,3.0,11/16/16,3703.92,4.0,4846.483189,3816.265291,,9,2015,M,2.61738535249829,sep,daff,2013-02-01,1.552361396,2015-09-15,6.845,17.8,6.0,40.0,2018-01-26,,1.03081934352293,282.238336256577,sep,0.0,0.0125,0.003125,0.3875,1,11,320
180,twn,pam,2015-09-30,2021-12-30 09:46:00,107,0.85,36.0,3.0,2016-10-28,10.0,3.0,11/16/16,12799.1,4.0,10245.40104,9524.1722,,9,2015,F,2.52156057494867,sep,park,2013-03-08,1.796030116,2015-09-15,9.657,20.4,8.0,40.0,2018-04-25,,0.74448063698878,287.577980456026,sep,0.0,0.09,0.06,0.23,0,2,300
181,twn,davi,2015-10-01,2021-12-30 12:30:00,110,0.36,24.0,11.0,2016-11-04,10.0,3.0,11/16/16,8177.99,4.0,15456.54885,9128.210383,,10,2015,F,2.09719370294319,oct,didg,2013-09-09,1.349760438,2015-10-15,7.0,14.4,8.0,40.0,2018-04-25,,1.11672095548317,312.681867535288,oct,0.0,0.0231788079470199,0.009933774834437,0.374172185430464,1,0,302
182,twn,keny,2015-10-01,2021-12-30 14:24:00,114,0.25,27.0,11.0,2016-11-04,10.0,3.0,11/16/16,4234.17,4.0,11523.82723,4201.020822,,10,2015,M,5.68377823408624,oct,kayl,2010-02-07,2.453114305,2015-10-15,12.938,5.7,19.0,40.0,2018-05-16,,0.992640849318374,513.711492339245,oct,0.0866666666666667,0.0,0.0,0.26,0,1,300
183,gn,dext,2015-10-02,2021-12-30 12:30:00,118,0.44,27.0,3.0,2016-10-28,10.0,3.0,11/16/16,3189.73,4.0,4932.529632,3164.757709,,10,2015,M,2.55989048596851,oct,dj,2013-03-24,1.80698152,2015-10-15,,,,,,,0.992640849318374,,oct,0.00625,0.0,0.0,0.30625,0,1,320
184,gn,mole,2015-10-02,2021-12-30 11:30:00,119,0.47,24.0,3.0,2016-10-28,10.0,3.0,11/16/16,2120.81,4.0,3070.240251,2367.232029,,10,2015,F,2.49691991786448,oct,merl,2013-04-16,1.467488022,2015-10-15,3.145,11.1,1.0,40.0,2018-01-11,,1.11672095548317,140.483496199783,oct,0.0,0.015625,0.034375,0.25625,2,2,320
185,tws,boyd,2015-10-02,2021-12-30 12:30:00,120,0.79,25.0,3.0,2016-10-28,10.0,3.0,11/16/16,3012.43,4.0,2594.527804,3227.953447,,10,2015,F,3.52908966461328,oct,buai,2012-04-04,2.740588638,2015-10-15,,,,,,,1.07205211726384,,oct,0.0,0.046875,0.01875,0.278125,2,6,320
186,twn,onyx,2015-10-02,2021-12-30 11:45:00,121,0.47,27.0,3.0,2016-10-28,10.0,3.0,11/16/16,5163.66,4.0,7475.293295,5123.233875,,10,2015,M,2.67488021902806,oct,opal,2013-02-10,1.631759069,2015-10-15,5.43,11.2,19.0,20.0,2018-05-16,,0.992640849318374,107.800796235975,oct,0.0566666666666667,0.04,0.0266666666666667,0.433333333333333,0,0,300
187,tws,dubl,2015-10-05,2021-12-30 14:45:00,123,0.98,24.0,3.0,2016-10-28,10.0,3.0,11/16/16,6107.0,4.0,4240.043388,6816.58706,,10,2015,M,6.61190965092402,oct,dixi,2009-03-05,2.321697467,2015-10-15,9.799,13.2,9.0,40.0,2018-04-26,,1.11672095548317,437.709945711184,oct,0.0,0.0,0.0,0.365625,5,0,320
188,tws,brav,2015-10-05,2021-12-30 16:37:00,126,0.67,32.0,3.0,2016-10-28,10.0,3.0,11/16/16,10303.2,4.0,10463.23029,8625.265244,,10,2015,M,2.55167693360712,oct,bow,2013-03-27,3.370294319,2015-10-15,,,,,,,0.837540716612378,,oct,0.009375,0.021875,0.0125,0.3125,1,0,320
189,twn,keny,2015-10-06,2021-12-30 11:10:00,129,0.63,27.0,3.0,2016-10-28,10.0,3.0,11/16/16,17493.2,4.0,18892.8366,17356.24631,,10,2015,M,5.68377823408624,oct,kayl,2010-02-07,2.453114305,2015-10-15,13.91,11.5,9.0,40.0,2018-04-26,,0.992640849318374,552.305368560743,oct,0.0866666666666667,0.0,0.0,0.26,0,1,300
190,gn,renl,2015-10-06,2021-12-30 09:30:00,130,0.58,26.0,3.0,2016-10-28,10.0,3.0,11/16/16,2956.79,4.0,3468.653702,3046.473749,,10,2015,M,2.46680355920602,oct,robe,2013-04-27,1.834360027,2015-10-15,13.968,0.4,1.0,40.0,2018-01-11,,1.03081934352293,575.93938361313,oct,0.009375,0.009375,0.0,0.28125,0,2,320
191,gn,mayh,2015-10-06,2021-12-30 10:32:00,132,0.37,22.0,3.0,2016-10-28,10.0,3.0,11/16/16,4679.47,4.0,8605.248172,5698.024261,,10,2015,F,5.58795345653662,oct,mixu,2010-03-14,2.214921287,2015-10-15,,,,,,,1.21824104234528,,oct,0.0,0.021875,0.05625,0.25625,2,3,320
192,tws,burn,2015-10-06,2021-12-30 08:53:00,133,1.01,31.0,3.0,2016-10-28,10.0,3.0,11/16/16,14397.9,4.0,9699.4305,12441.93037,,10,2015,F,6.62559890485969,oct,blaz,2009-02-28,2.247775496,2015-10-15,8.707,12.5,9.0,40.0,2018-04-26,,0.864558159083745,301.108315645687,oct,0.0,0.0125,0.040625,0.28125,0,1,320
193,twn,pam,2015-10-06,2021-12-30 15:43:00,135,0.74,30.0,3.0,2016-10-28,10.0,3.0,11/16/16,42086.0,4.0,38696.74072,37580.85908,,10,2015,F,2.60369609856263,oct,park,2013-03-08,1.796030116,2015-10-15,12.546,3.5,9.0,40.0,2018-04-26,,0.893376764386536,448.332195439739,oct,0.0199335548172757,0.026578073089701,0.0199335548172757,0.242524916943522,0,0,301
194,twn,amos,2015-10-06,2021-12-30 16:00:00,136,0.52,29.0,3.0,2016-10-28,10.0,3.0,11/16/16,10683.5,4.0,13979.08247,9868.834455,,10,2015,M,5.65913757700205,oct,ambe,2010-02-16,2.650239562,2015-10-15,20.472,10.3,9.0,40.0,2018-04-26,,0.92418285971021,756.794860159497,oct,0.06,0.0266666666666667,0.01,0.333333333333333,1,4,300
195,gn,spad,2015-10-06,2021-12-30 14:39:00,137,0.66,30.0,3.0,2016-10-28,10.0,3.0,11/16/16,3465.22,4.0,3572.360949,3094.281816,,10,2015,F,5.73853524982888,oct,spik,2010-01-18,2.258726899,2015-10-15,6.33,13.9,1.0,40.0,2018-01-11,,0.893376764386536,226.202996742671,oct,0.003125,0.0125,0.025,0.2875,3,6,320
196,tws,burn,2015-10-07,2021-12-30 10:24:00,139,1.02,34.0,3.0,2016-10-28,10.0,3.0,11/16/16,8752.33,4.0,5838.374762,6895.965411,,10,2015,F,6.62559890485969,oct,blaz,2009-02-28,2.247775496,2015-10-15,14.543,11.2,9.0,40.0,2018-04-26,,0.788273615635179,458.554527687296,oct,0.0,0.0125,0.040625,0.28125,0,1,320
197,tws,bike,2015-10-07,2021-12-30 12:20:00,140,0.68,29.0,3.0,2016-10-28,10.0,3.0,11/16/16,3681.32,4.0,3683.520693,3400.602579,,10,2015,M,6.55441478439425,oct,bif,2009-03-26,2.264202601,2015-10-15,14.681,1.5,9.0,40.0,2018-04-26,,0.92418285971021,542.717142536224,oct,0.0,0.0094043887147335,0.0,0.38871473354232,0,0,319
198,gn,ropa,2015-10-07,2021-12-30 14:58:00,142,0.46,23.0,3.0,2016-10-28,10.0,4.0,11/18/16,9865.89,5.0,14593.07766,11491.02423,,10,2015,M,5.81793292265572,oct,robe,2009-12-20,3.529089665,2015-10-15,6.076,14.5,1.0,40.0,2018-01-11,,1.16527404050418,283.208202804135,oct,0.015625,0.03125,0.0,0.390625,3,1,320
199,gn,stel,2015-10-08,2021-12-30 12:02:00,146,0.61,26.0,3.0,2016-10-28,10.0,4.0,11/18/16,4145.71,5.0,4624.209915,4271.455425,,10,2015,F,2.4394250513347,oct,sput,2013-05-07,2.223134839,2015-10-15,3.226,2.2,1.0,40.0,2018-01-11,,1.03081934352293,133.016928088198,oct,0.0094043887147335,0.0282131661442006,0.0376175548589342,0.313479623824451,0,0,319
200,tws,peke,2015-10-08,2021-12-30 10:42:00,148,0.83,31.0,3.0,2016-10-28,10.0,4.0,11/18/16,2913.61,5.0,2388.480957,2517.793063,,10,2015,M,4.79123887748118,oct,pans,2010-12-30,2.814510609,2015-10-15,7.542,4.3,9.0,40.0,2018-04-26,,0.864558159083745,260.819905432384,oct,0.0,0.0125,0.015625,0.41875,1,3,320
201,tws,bike,2015-10-08,2021-12-30 12:04:00,149,1.1,32.0,3.0,2016-10-28,10.0,4.0,11/18/16,14049.9,5.0,8690.584856,11761.79383,,10,2015,M,6.55441478439425,oct,bif,2009-03-26,2.264202601,2015-10-15,28.06,7.5,9.0,40.0,2018-04-26,,0.837540716612378,940.055700325733,oct,0.0,0.0094043887147335,0.0,0.38871473354232,0,0,319
202,tws,dame,2015-10-08,2021-12-30 10:28:00,150,0.68,23.0,3.0,2016-10-28,10.0,4.0,11/18/16,2955.14,5.0,2956.906583,3441.918098,,10,2015,F,3.7700205338809,oct,dixi,2012-01-07,1.869952088,2015-10-15,11.779,7.4,9.0,40.0,2018-04-26,,1.16527404050418,549.030516923948,oct,0.0,0.053125,0.034375,0.21875,0,0,320
203,tws,boyd,2015-10-08,2021-12-30 11:42:00,152,0.7,26.0,3.0,2016-10-28,10.0,4.0,11/18/16,1979.08,5.0,1923.684149,2039.10838,,10,2015,F,3.52908966461328,oct,buai,2012-04-04,2.740588638,2015-10-15,12.2,5.5,9.0,40.0,2018-04-26,,1.03081934352293,503.039839639188,oct,0.0,0.046875,0.01875,0.278125,2,6,320
204,tws,brog,2015-10-08,2021-12-30 16:25:00,153,1.01,30.0,3.0,2016-10-28,10.0,4.0,11/18/16,2415.04,5.0,1626.939528,2156.519458,,10,2015,F,6.74332648870637,oct,bow,2009-01-16,2.516084873,2015-10-15,20.678,13.4,9.0,40.0,2018-04-26,,0.893376764386536,738.929789359392,oct,0.0,0.0,0.08,0.29,1,0,300
205,tws,sevi,2015-10-08,2021-12-30 14:42:00,154,0.52,34.0,3.0,2016-10-28,10.0,4.0,11/18/16,5676.5,5.0,7427.552924,4472.517336,,10,2015,F,2.51882272416153,oct,sava,2013-04-08,1.735797399,2015-10-15,13.36,3.5,9.0,40.0,2018-04-26,,0.788273615635179,421.25342019544,oct,0.0,0.003125,0.025,0.315625,0,0,320
206,tws,bike,2015-10-08,2021-12-30 15:53:00,155,0.65,30.0,3.0,2016-10-28,10.0,4.0,11/18/16,14361.5,5.0,15033.32001,12824.15786,,10,2015,M,6.55441478439425,oct,bif,2009-03-26,2.264202601,2015-10-15,10.797,2.8,9.0,40.0,2018-04-26,,0.893376764386536,385.831557003257,oct,0.0,0.0094043887147335,0.0,0.38871473354232,0,0,319
207,tws,dame,2015-10-09,2021-12-30 09:35:00,157,0.91,34.0,3.0,2016-10-28,10.0,4.0,11/18/16,3389.44,5.0,2534.282441,2670.541559,,10,2015,F,3.7700205338809,oct,dixi,2012-01-07,1.869952088,2015-10-15,7.668,13.6,9.0,40.0,2018-04-26,,0.788273615635179,241.779283387622,oct,0.0,0.053125,0.034375,0.21875,0,0,320
208,tws,atom,2015-10-09,2021-12-30 11:56:00,158,0.92,32.0,3.0,2016-10-28,10.0,4.0,11/18/16,12542.7,5.0,9276.233324,10500.04992,,10,2015,F,6.64476386036961,oct,arte,2009-02-21,2.795345654,2015-10-15,21.231,10.9,9.0,40.0,2018-04-26,,0.837540716612378,711.273078175896,oct,0.0,0.05625,0.04375,0.384375,0,3,320
209,twn,pam,2015-10-09,2021-12-30 10:58:00,159,0.45,31.0,3.0,2016-10-28,10.0,4.0,11/18/16,13469.3,5.0,20365.77628,11639.48164,,10,2015,F,2.60369609856263,oct,park,2013-03-08,1.796030116,2015-10-15,9.824,16.8,9.0,40.0,2018-04-26,,0.864558159083745,339.736774193548,oct,0.0199335548172757,0.026578073089701,0.0199335548172757,0.242524916943522,0,0,301
210,twn,allo,2015-10-09,2021-12-30 14:52:00,160,0.69,23.0,3.0,2016-10-28,10.0,4.0,11/18/16,650.67,5.0,641.6233333,757.85,,10,2015,M,2.5160848733744,oct,ambe,2013-04-09,3.394934976,2015-10-15,15.806,14.4,9.0,40.0,2018-04-26,,1.16527404050418,736.732859368361,oct,0.0,0.0133333333333333,0.0,0.25,0,0,300
211,gn,pira,2015-10-12,2021-12-30 10:53:00,164,0.7,31.0,3.0,2016-10-28,10.0,4.0,11/18/16,6360.48,5.0,6182.445659,5496.402203,,10,2015,M,4.71457905544148,oct,pinc,2011-01-27,1.35797399,2015-10-15,10.497,3.7,1.0,40.0,2018-01-11,,0.864558159083745,363.010679836083,oct,0.053125,0.0375,0.04375,0.365625,4,0,320
212,twn,davi,2015-10-13,2021-12-30 11:46:00,166,0.28,26.0,3.0,2016-10-28,10.0,4.0,11/18/16,8516.88,5.0,20696.21624,8775.209381,,10,2015,F,2.09719370294319,oct,didg,2013-09-09,1.349760438,2015-10-15,6.028,8.6,9.0,40.0,2018-04-26,,1.03081934352293,248.551160110248,oct,0.0,0.0231788079470199,0.009933774834437,0.374172185430464,1,0,302
213,twn,onyx,2015-10-13,2021-12-30 09:55:00,168,0.5,32.0,3.0,2016-10-28,10.0,4.0,11/18/16,9514.61,5.0,12947.60506,7965.101613,,10,2015,M,2.67488021902806,oct,opal,2013-02-10,1.631759069,2015-10-15,8.308,1.3,9.0,40.0,2018-04-26,,0.837540716612378,278.331530944625,oct,0.0566666666666667,0.04,0.0266666666666667,0.433333333333333,0,0,300
214,tws,brav,2015-10-13,2021-12-30 15:06:00,172,0.74,22.0,4.0,2016-11-01,10.0,4.0,11/18/16,3345.93,5.0,3076.476397,4074.220011,,10,2015,M,2.55167693360712,oct,bow,2013-03-27,3.370294319,2015-10-15,11.707,14.5,9.0,40.0,2018-04-26,,1.21824104234528,570.477915309446,oct,0.009375,0.021875,0.0125,0.3125,1,0,320
215,tws,burn,2015-10-15,2021-12-30 09:05:00,174,0.6,26.0,4.0,2016-11-01,10.0,4.0,11/18/16,6035.12,5.0,6843.891501,6218.173984,,10,2015,F,6.62559890485969,oct,blaz,2009-02-28,2.247775496,2015-10-15,9.872,9.0,9.0,40.0,2018-04-26,,1.03081934352293,407.049942370333,oct,0.0,0.0125,0.040625,0.28125,0,1,320
