,group,subj,date,time,sample_number,Cr,SG,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,stdsg_CP,cp_note,month,year,sex,age,month.name,mum,bday,weaning,mid,neo_value,CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,neo_sg,month_name,pl,gmd,gm,r,n_agg_g,n_agg_r,n_obs
16,tws,brav,2015-09-02,2021-12-30 15:16:00,52,1.29,42.0,2.0,2016-10-27,20.0,1.0,11/8/16,5906.94,1.0,3115.597206,3767.589489,,9,2015,M,2.46954140999316,sep,bow,2013-03-27,3.370294319,2015-09-15,47.511,2.6,7.0,40.0,2018-04-17,,0.638126260276097,1212.72067007911,sep,0.01,0.0133333333333333,0.01,0.303333333333333,0,4,300
17,tws,atom,2015-09-07,2021-12-30 14:06:00,59,1.6,46.0,2.0,2016-10-27,20.0,1.0,11/8/16,52830.3,1.0,22466.29983,30766.31999,,9,2015,F,6.56262833675565,sep,arte,2009-02-21,2.795345654,2015-09-15,58.853,10.4,7.0,40.0,2018-04-17,,0.582637020252089,1371.59746211585,sep,0.0,0.04,0.0233333333333333,0.413333333333333,0,4,300
18,gn,ropa,2015-09-08,2021-12-30 12:11:00,68,0.8,38.0,2.0,2016-10-27,20.0,1.0,11/8/16,3746.36,1.0,3186.309638,2641.04754,,9,2015,M,5.73579739904175,sep,robe,2009-12-20,3.529089665,2015-09-15,17.221,5.8,1.0,40.0,2018-01-11,,0.705297445568318,485.83709240528,sep,0.0066666666666666,0.0766666666666667,0.0333333333333333,0.406666666666667,2,1,300
19,gn,spad,2015-09-10,2021-12-30 10:43:00,71,1.19,48.0,2.0,2016-10-27,20.0,1.0,11/8/16,11281.6,1.0,6450.482367,6296.218157,,9,2015,F,5.65639972621492,sep,spik,2010-01-18,2.258726899,2015-09-15,20.495,3.5,5.0,40.0,2018-01-25,,0.558360477741585,457.743919652552,sep,0.0,0.0866666666666667,0.0733333333333333,0.293333333333333,1,0,300
20,tws,dubl,2015-09-10,2021-12-30 10:50:00,72,2.05,39.0,2.0,2016-10-27,20.0,1.0,11/8/16,11742.5,1.0,3897.401646,8065.77809,,9,2015,M,6.52977412731006,sep,dixi,2009-03-05,2.321697467,2015-09-15,46.153,6.5,8.0,40.0,2018-04-25,,0.687212895681951,1268.67747097636,sep,0.03,0.0066666666666666,0.0066666666666666,0.41,6,5,300
21,gn,dext,2015-09-15,2021-12-30 12:00:00,77,0.77,41.0,2.0,2016-10-27,20.0,1.0,11/8/16,1374.82,1.0,1214.852558,898.281162,,9,2015,M,2.47775496235455,sep,dj,2013-03-24,1.80698152,2015-09-15,,,,,,,0.653690315404783,,sep,0.0,0.0100334448160535,0.0,0.31438127090301,1,0,299
22,tws,brog,2015-09-16,2021-12-30 14:39:00,79,2.2,51.0,2.0,2016-10-27,20.0,1.0,11/8/16,55056.8,1.0,17027.72946,28919.52112,,9,2015,F,6.6611909650924,sep,bow,2009-01-16,2.516084873,2015-09-15,67.578,6.3,8.0,40.0,2018-04-25,,0.525515743756786,1420.53211726384,sep,0.0,0.0033333333333333,0.0166666666666667,0.423333333333333,3,0,300
23,tws,burn,2015-09-28,2021-12-30 09:24:00,93,0.73,38.0,2.0,2016-10-27,20.0,9.0,11/24/16,2245.64,14.0,2093.079537,1583.094523,"redo, CV's too hi, originally in batch 1, run 1",9,2015,F,6.54346338124572,sep,blaz,2009-02-28,2.247775496,2015-09-15,4.509,15.6,8.0,40.0,2018-04-25,,0.705297445568318,127.207447282702,sep,0.0,0.0,0.02,0.3,2,5,300
24,twn,amos,2015-09-29,2021-12-30 11:05:00,99,0.96,43.0,3.0,2016-10-28,20.0,1.0,11/8/16,4327.99,1.0,3067.492235,2696.29931,,9,2015,M,5.57700205338809,sep,ambe,2010-02-16,2.650239562,2015-09-15,5.974,0.6,8.0,40.0,2018-04-25,,0.623286114688281,148.940449965912,sep,0.0433333333333333,0.0066666666666666,0.0066666666666666,0.34,0,0,300
25,gn,spad,2015-09-29,2021-12-30 14:21:00,100,1.27,54.0,3.0,2016-10-28,20.0,1.0,11/8/16,4546.74,1.0,2435.93029,2255.571861,,9,2015,F,5.65639972621492,sep,spik,2010-01-18,2.258726899,2015-09-15,,,,,,,0.496320424659187,,sep,0.0,0.0866666666666667,0.0733333333333333,0.293333333333333,1,0,300
26,gn,stre,2015-09-30,2021-12-30 08:49:00,105,1.11,47.0,3.0,2016-10-28,20.0,1.0,11/8/16,18852.2,1.0,11555.99955,10745.19962,,9,2015,F,6.53251197809719,sep,sput,2009-03-04,3.06091718,2015-09-15,12.986,5.8,5.0,40.0,2018-01-25,,0.5702404879063,296.205719038048,sep,0.0,0.106666666666667,0.0766666666666667,0.29,0,5,300
27,twn,amos,2015-09-30,2021-12-30 12:28:00,106,1.29,52.0,3.0,2016-10-28,20.0,1.0,11/8/16,12978.6,1.0,6845.522367,6686.129925,,9,2015,M,5.57700205338809,sep,ambe,2010-02-16,2.650239562,2015-09-15,40.865,13.2,8.0,40.0,2018-04-25,,0.515409671761463,842.488649461288,sep,0.0433333333333333,0.0066666666666666,0.0066666666666666,0.34,0,0,300
