"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","Cr","SG","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","sex","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","month_name","pl","gmd","gm","r","n_agg_g","n_agg_r","n_obs"
"tws","brav",2015-09-02,2.46954140999316,2015,9,2022-02-22 15:16:00,52,3767.589489,1212.14668989547,1.29,42,2,2016-10-27,20,1,"11/8/16",5906.94,1,3115.597206,"","M","sep","bow",2013-03-27,3.370294319,2015-09-15,47.511,2.6,7,40,2018-04-17,"",0.637824235385211,"sep",0.01,0.0133333333333333,0.01,0.303333333333333,0,4,300
"tws","atom",2015-09-07,6.56262833675565,2015,9,2022-02-22 14:06:00,59,30766.31999,1370.94828561329,1.6,46,2,2016-10-27,20,1,"11/8/16",52830.3,1,22466.29983,"","F","sep","arte",2009-02-21,2.795345654,2015-09-15,58.853,10.4,7,40,2018-04-17,"",0.582361258395193,"sep",0,0.04,0.0233333333333333,0.413333333333333,0,4,300
"gn","ropa",2015-09-08,5.73579739904175,2015,9,2022-02-22 12:11:00,68,2641.04754,485.607145913564,0.8,38,2,2016-10-27,20,1,"11/8/16",3746.36,1,3186.309638,"","M","sep","robe",2009-12-20,3.529089665,2015-09-15,17.221,5.8,1,40,2018-01-11,"",0.704963628583654,"sep",0.00666666666666667,0.0766666666666667,0.0333333333333333,0.406666666666667,2,1,300
"gn","spad",2015-09-10,5.65639972621492,2015,9,2022-02-22 10:43:00,71,6296.218157,457.527269647697,1.19,48,2,2016-10-27,20,1,"11/8/16",11281.6,1,6450.482367,"","F","sep","spik",2010-01-18,2.258726899,2015-09-15,20.495,3.5,5,40,2018-01-25,"",0.55809620596206,"sep",0,0.0866666666666667,0.0733333333333333,0.293333333333333,1,0,300
"tws","dubl",2015-09-10,6.52977412731006,2015,9,2022-02-22 10:50:00,72,8065.77809,1268.07700646237,2.05,39,2,2016-10-27,20,1,"11/8/16",11742.5,1,3897.401646,"","M","sep","dixi",2009-03-05,2.321697467,2015-09-15,46.153,6.5,8,40,2018-04-25,"",0.68688763810715,"sep",0.03,0.00666666666666667,0.00666666666666667,0.41,6,5,300
"gn","dext",2015-09-15,2.47775496235455,2015,9,2022-02-22 12:00:00,77,898.281162,NA,0.77,41,2,2016-10-27,20,1,"11/8/16",1374.82,1,1214.852558,"","M","sep","dj",2013-03-24,1.80698152,2015-09-15,NA,NA,NA,NA,NA,NA,0.653380924053143,"sep",0,0.0100334448160535,0,0.31438127090301,1,0,299
"tws","brog",2015-09-16,6.6611909650924,2015,9,2022-02-22 14:39:00,79,28919.52112,1419.85978000956,2.2,51,2,2016-10-27,20,1,"11/8/16",55056.8,1,17027.72946,"","F","sep","bow",2009-01-16,2.516084873,2015-09-15,67.578,6.3,8,40,2018-04-25,"",0.525267017376056,"sep",0,0.00333333333333333,0.0166666666666667,0.423333333333333,3,0,300
"tws","burn",2015-09-28,6.54346338124572,2015,9,2022-02-22 09:24:00,93,1583.094523,127.147240051348,0.73,38,2,2016-10-27,20,9,"11/24/16",2245.64,14,2093.079537,"redo, CV's too hi, originally in batch 1, run 1","F","sep","blaz",2009-02-28,2.247775496,2015-09-15,4.509,15.6,8,40,2018-04-25,"",0.704963628583654,"sep",0,0,0.02,0.3,2,5,300
"twn","amos",2015-09-29,5.57700205338809,2015,9,2022-02-22 11:05:00,99,2696.29931,148.869956513519,0.96,43,3,2016-10-28,20,1,"11/8/16",4327.99,1,3067.492235,"","M","sep","ambe",2010-02-16,2.650239562,2015-09-15,5.974,0.6,8,40,2018-04-25,"",0.622991113632067,"sep",0.0433333333333333,0.00666666666666667,0.00666666666666667,0.34,0,0,300
"gn","spad",2015-09-29,5.65639972621492,2015,9,2022-02-22 14:21:00,100,2255.571861,NA,1.27,54,3,2016-10-28,20,1,"11/8/16",4546.74,1,2435.93029,"","F","sep","spik",2010-01-18,2.258726899,2015-09-15,NA,NA,NA,NA,NA,NA,0.49608551641072,"sep",0,0.0866666666666667,0.0733333333333333,0.293333333333333,1,0,300
"gn","stre",2015-09-30,6.53251197809719,2015,9,2022-02-22 08:49:00,105,10745.19962,296.065524995676,1.11,47,3,2016-10-28,20,1,"11/8/16",18852.2,1,11555.99955,"","F","sep","sput",2009-03-04,3.06091718,2015-09-15,12.986,5.8,5,40,2018-01-25,"",0.569970593322955,"sep",0,0.106666666666667,0.0766666666666667,0.29,0,5,300
"twn","amos",2015-09-30,5.57700205338809,2015,9,2022-02-22 12:28:00,106,6686.129925,842.089899937461,1.29,52,3,2016-10-28,20,1,"11/8/16",12978.6,1,6845.522367,"","M","sep","ambe",2010-02-16,2.650239562,2015-09-15,40.865,13.2,8,40,2018-04-25,"",0.515165728580363,"sep",0.0433333333333333,0.00666666666666667,0.00666666666666667,0.34,0,0,300
"tws","dame",2015-10-01,3.7700205338809,2015,10,2022-02-22 11:24:00,113,3802.456065,569.22192924632,0.41,37,11,2016-11-04,20,1,"11/8/16",5251.89,1,8715.658816,"","F","oct","dixi",2012-01-07,1.869952088,2015-10-15,19.655,4.8,8,40,2018-04-25,"",0.724016699626456,"oct",0,0.053125,0.034375,0.21875,0,0,320
"gn","ropa",2015-10-01,5.81793292265572,2015,10,2022-02-22 14:52:00,115,4474.435874,715.122154471545,0.6,40,11,2016-11-04,20,1,"11/8/16",6681.1,1,7576.439824,"","M","oct","robe",2009-12-20,3.529089665,2015-10-15,26.695,6.7,1,40,2018-01-11,"",0.669715447154472,"oct",0.015625,0.03125,0,0.390625,3,1,320
"gn","mayh",2015-10-01,5.58795345653662,2015,10,2022-02-22 15:06:00,116,9324.180285,352.056016260163,0.56,40,11,2016-11-04,20,1,"11/8/16",13922.6,1,16916.1207,"","F","oct","mixu",2010-03-14,2.214921287,2015-10-15,13.142,1.5,1,40,2018-01-11,"",0.669715447154472,"oct",0,0.021875,0.05625,0.25625,2,3,320
"gn","pira",2015-10-01,4.71457905544148,2015,10,2022-02-22 14:51:00,117,4076.137833,424.112527716186,0.88,44,3,2016-10-28,20,1,"11/8/16",6695.01,1,5176.509487,"","M","oct","pinc",2011-01-27,1.35797399,2015-10-15,17.415,11.7,5,40,2018-01-25,"",0.608832224685883,"oct",0.053125,0.0375,0.04375,0.365625,4,0,320
