"subj","month","year","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","group","fai","fai_cat","avg_rain"
"atom",11,2015,"nov",0,0.0132890365448505,0.0631229235880399,0.332225913621262,0.285714285714286,0.186046511627907,0,3,1,301,0.556,"tws",131187483.281444,"med",9.96
"atom",12,2015,"dec",0.00666666666666667,0.00333333333333333,0,0.31,0.39,0.186666666666667,0,1,6,300,0.556,"tws",237582652.334722,"hi",5.9
"atom",1,2016,"jan",0,0.03,0.0866666666666667,0.386666666666667,0.26,0.14,0,1,2,300,0.556,"tws",238110609.245833,"hi",2.85483870967742
"atom",2,2016,"feb",0.00277777777777778,0.00833333333333333,0.0805555555555556,0.297222222222222,0.375,0.155555555555556,0,5,8,360,0.556,"tws",3108847.49027778,"low",1.33448275862069
"atom",3,2016,"mar",0.03,0.0133333333333333,0.0433333333333333,0.403333333333333,0.223333333333333,0.166666666666667,0,2,1,300,0.556,"tws",108977575.177778,"med",2.5
"bike",8,2015,"aug",0.0222222222222222,0.0222222222222222,0.0333333333333333,0.377777777777778,0.338888888888889,0.138888888888889,0,2,0,180,0.261,"tws",7755239.42916667,"low",8.24193548387097
"bike",9,2015,"sep",0.00666666666666667,0.0166666666666667,0.01,0.416666666666667,0.333333333333333,0.166666666666667,0,1,2,300,0.261,"tws",13291529.0777778,"low",7.55
"bike",10,2015,"oct",0,0.00940438871473354,0,0.38871473354232,0.326018808777429,0.181818181818182,0,0,0,319,0.261,"tws",8685715.30416667,"low",7.49032258064516
"bike",11,2015,"nov",0,0.00333333333333333,0.00333333333333333,0.32,0.4,0.16,0,1,3,300,0.261,"tws",131187483.281444,"med",9.96
"bike",12,2015,"dec",0.0166666666666667,0.0433333333333333,0.01,0.366666666666667,0.29,0.176666666666667,0,1,1,300,0.261,"tws",237582652.334722,"hi",5.9
"bike",1,2016,"jan",0.0433333333333333,0,0,0.33,0.39,0.16,0,3,3,300,0.261,"tws",238110609.245833,"hi",2.85483870967742
"bike",2,2016,"feb",0,0.0194986072423398,0.011142061281337,0.309192200557103,0.506963788300836,0.100278551532033,0,0,2,359,0.261,"tws",3108847.49027778,"low",1.33448275862069
"bike",3,2016,"mar",0.0733333333333333,0.0366666666666667,0.02,0.513333333333333,0.156666666666667,0.14,0.0166666666666667,2,0,300,0.261,"tws",108977575.177778,"med",2.5
"blas",8,2015,"aug",0,0,0,0.411111111111111,0.311111111111111,0.205555555555556,0,0,2,180,0.13,"tws",7755239.42916667,"low",8.24193548387097
"blas",9,2015,"sep",0.0133333333333333,0.05,0.0333333333333333,0.346666666666667,0.323333333333333,0.18,0,1,2,300,0.13,"tws",13291529.0777778,"low",7.55
"blas",10,2015,"oct",0.015625,0,0,0.2625,0.378125,0.209375,0,0,0,320,0.13,"tws",8685715.30416667,"low",7.49032258064516
"blas",11,2015,"nov",0.0433333333333333,0.0233333333333333,0,0.396666666666667,0.253333333333333,0.183333333333333,0,0,0,300,0.13,"tws",131187483.281444,"med",9.96
"blas",12,2015,"dec",0,0,0,0.31,0.34,0.23,0,0,0,300,0.13,"tws",237582652.334722,"hi",5.9
"blas",1,2016,"jan",0.0833333333333333,0.0133333333333333,0.00666666666666667,0.303333333333333,0.326666666666667,0.153333333333333,0,0,0,300,0.13,"tws",238110609.245833,"hi",2.85483870967742
"blas",2,2016,"feb",0.0696378830083565,0.0250696378830084,0,0.33983286908078,0.317548746518106,0.178272980501393,0,2,2,359,0.13,"tws",3108847.49027778,"low",1.33448275862069
"blas",3,2016,"mar",0.184563758389262,0,0,0.385906040268456,0.184563758389262,0.151006711409396,0.0402684563758389,0,0,298,0.13,"tws",108977575.177778,"med",2.5
"bong",8,2015,"aug",0.00555555555555556,0,0.00555555555555556,0.411111111111111,0.183333333333333,0.227777777777778,0,0,1,180,0.696,"tws",7755239.42916667,"low",8.24193548387097
"bong",9,2015,"sep",0.03,0.02,0,0.276666666666667,0.313333333333333,0.236666666666667,0,3,2,300,0.696,"tws",13291529.0777778,"low",7.55
"bong",10,2015,"oct",0.04375,0.003125,0,0.359375,0.303125,0.18125,0,0,0,320,0.696,"tws",8685715.30416667,"low",7.49032258064516
"bong",11,2015,"nov",0.00333333333333333,0.0466666666666667,0,0.403333333333333,0.213333333333333,0.226666666666667,0,1,1,300,0.696,"tws",131187483.281444,"med",9.96
"bong",12,2015,"dec",0.03,0,0,0.296666666666667,0.406666666666667,0.17,0,1,0,300,0.696,"tws",237582652.334722,"hi",5.9
"bong",1,2016,"jan",0.0733333333333333,0,0,0.353333333333333,0.303333333333333,0.19,0,2,2,300,0.696,"tws",238110609.245833,"hi",2.85483870967742
"bong",2,2016,"feb",0.0166204986149584,0.0166204986149584,0.00554016620498615,0.365650969529086,0.315789473684211,0.155124653739612,0,2,3,361,0.696,"tws",3108847.49027778,"low",1.33448275862069
"bong",3,2016,"mar",0.123333333333333,0.0133333333333333,0.00666666666666667,0.34,0.206666666666667,0.18,0,0,0,300,0.696,"tws",108977575.177778,"med",2.5
"boyd",8,2015,"aug",0,0.0888888888888889,0.0333333333333333,0.433333333333333,0.205555555555556,0.127777777777778,0,0,2,180,0.217,"tws",7755239.42916667,"low",8.24193548387097
"boyd",9,2015,"sep",0.0133333333333333,0.0333333333333333,0.0233333333333333,0.35,0.273333333333333,0.19,0,1,6,300,0.217,"tws",13291529.0777778,"low",7.55
"boyd",10,2015,"oct",0,0.046875,0.01875,0.278125,0.378125,0.203125,0,2,2,320,0.217,"tws",8685715.30416667,"low",7.49032258064516
"boyd",11,2015,"nov",0,0.00333333333333333,0.0333333333333333,0.403333333333333,0.29,0.18,0,2,2,300,0.217,"tws",131187483.281444,"med",9.96
"boyd",12,2015,"dec",0.0233333333333333,0.0133333333333333,0.0133333333333333,0.44,0.266666666666667,0.153333333333333,0,1,0,300,0.217,"tws",237582652.334722,"hi",5.9
"boyd",1,2016,"jan",0.040133779264214,0.020066889632107,0,0.374581939799331,0.25752508361204,0.217391304347826,0,0,1,299,0.217,"tws",238110609.245833,"hi",2.85483870967742
"boyd",2,2016,"feb",0.0277777777777778,0.025,0.0194444444444444,0.319444444444444,0.327777777777778,0.169444444444444,0,2,1,360,0.217,"tws",3108847.49027778,"low",1.33448275862069
