group,subj,date,age,year,month,time,sample_number,stdsg_CP,neo_sg,sex,Cr,SG,month.name,mum,bday,weaning,mid,neo_value,neo_CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,cp_note,cr_resid
gn,mend,2015-08-18,5.5277207392197125,2015,8,2022-03-05T19:36:00Z,19,5772.636061,NA,F,0.86,31,aug,merl,2010-02-03,2.236824093,2015-08-15,NA,NA,NA,NA,NA,NA,0.8641489640702859,1,2016-10-26,10,3,11/16/16,6680.14,3,5285.128726,,0.07918582376955886
tws,dubl,2015-08-18,6.444900752908967,2015,8,2022-03-05T22:40:00Z,20,2039.360075,309.10238095238094,M,0.96,28,aug,dixi,2009-03-05,2.321697467,2015-08-15,8.077,0.5,7,40,2018-04-17,,0.9567363530778165,1,2016-10-26,10,3,11/16/16,2131.58,3,1510.771767,,0.25532659780759837
twn,petr,2015-08-19,5.366187542778919,2015,8,2022-03-05T23:20:00Z,21,3209.410366,523.94071815718155,F,0.56,24,aug,park,2010-04-03,2.565366188,2015-08-15,11.735,3.2,7,40,2018-04-17,,1.1161924119241193,1,2016-10-26,10,3,11/16/16,2875.32,3,3493.547195,,-0.044325460454538126
gn,renl,2015-08-20,2.299794661190965,2015,8,2022-03-05T20:15:00Z,22,2150.91766,472.31309846431805,M,0.32,18,aug,robe,2013-04-27,1.834360027,2015-08-15,7.934,0.1,4,40,2018-01-25,,1.488256549232159,1,2016-10-26,5,5,11/21/16,1445.26,9,3073.01345,,-0.1363173128038628
gn,dean,2015-08-20,4.596851471594798,2015,8,2022-03-05T20:00:00Z,23,2852.354619,127.22158167036218,M,0.14,11,aug,desd,2011-01-09,2.302532512,2015-08-15,1.306,3.2,4,40,2018-01-25,,2.435328898743533,1,2016-10-26,5,5,11/24/16,1171.24,9,5692.280813,"redid in batch 14 run 9, but wasn't necessary!",-0.1474536840615233
gn,mend,2015-08-21,5.5277207392197125,2015,8,2022-03-05T20:13:00Z,24,2148.941256,108.52366757000905,F,0.13,9,aug,merl,2010-02-03,2.236824093,2015-08-15,1.823,11.7,6,20,2018-01-26,,2.976513098464318,1,2016-10-26,2,8,11/23/16,721.966,12,3778.695093,,-0.10996106247911935
gn,renl,2015-08-21,2.299794661190965,2015,8,2022-03-05T18:17:00Z,25,1810.250421,506.4196864111499,M,0.54,28,aug,robe,2013-04-27,1.834360027,2015-08-15,13.233,6.3,1,40,2018-01-11,,0.9567363530778165,1,2016-10-26,10,3,11/16/16,1892.11,3,2384.08139,,-0.16467340219240156
gn,dann,2015-08-21,2.532511978097194,2015,8,2022-03-05T18:22:00Z,26,14259.19861,192.6637398373984,M,0.39,35,aug,daff,2013-02-01,1.552361396,2015-08-15,6.293,0.8,1,40,2018-01-11,,0.7653890824622532,1,2016-10-26,10,3,11/16/16,18630,3,32502.49531,,-0.4935082985940164
twn,safi,2015-08-21,2.4668035592060233,2015,8,2022-03-05T20:47:00Z,27,5418.430042,294.39826907946497,F,0.39,31,aug,saph,2013-02-25,1.741273101,2015-08-15,8.517,10.6,17,40,2018-05-15,,0.8641489640702859,1,2016-10-26,10,3,11/16/16,6270.25,3,10939.27918,,-0.3908141762304411
twn,pam,2015-08-24,2.43668720054757,2015,8,2022-03-05T17:34:00Z,28,1534.545793,878.1308943089431,F,0.12,6,aug,park,2013-03-08,1.796030116,2015-08-15,4.917,7.5,17,40,2018-05-15,,4.464769647696477,1,2016-10-26,2,8,11/23/16,343.701,12,1948.803299,,-0.0493505713445435
tws,bong,2015-08-24,2.2806297056810405,2015,8,2022-03-05T16:50:00Z,29,1872.990711,345.55332731105096,M,0.46,27,aug,bonn,2013-05-04,1.971252567,2015-08-15,8.707,10.6,18,40,2018-05-15,,0.9921710328214394,2,2016-10-27,10,3,11/16/16,1887.77,3,2792.284753,,-0.21946072851012974
gn,ropa,2015-08-24,5.650924024640657,2015,8,2022-03-06T00:04:00Z,30,68041.69176,114.09621774478614,M,0.62,23,aug,robe,2009-12-20,3.529089665,2015-08-15,9.796,3.6,1,10,2018-01-11,,1.1647225167903854,2,2016-10-27,10,3,11/16/16,58418.8,3,64110.53464,,0.040552044566917717
gn,pira,2015-08-25,4.547570157426421,2015,8,2022-03-05T16:30:00Z,31,1323.296492,157.36399535423925,M,0.12,7,aug,pinc,2011-01-27,1.35797399,2015-08-15,1.028,1.7,5,40,2018-01-25,,3.826945412311266,2,2016-10-27,2,8,11/23/16,345.784,12,1960.614022,,-0.07280360955753146
tws,peke,2015-08-25,4.6242299794661195,2015,8,2022-03-05T18:57:00Z,32,9198.479847,334.1570981863665,M,0.59,26,aug,pans,2010-12-30,2.814510609,2015-08-15,8.108,6,7,40,2018-04-17,,1.0303314571607254,2,2016-10-27,10,3,11/16/16,8927.69,4,10295.69211,,-0.0643318469930619
tws,blas,2015-08-25,3.5318275154004106,2015,8,2022-03-05T19:13:00Z,33,4827.281231,131.6891505466779,M,0.84,29,aug,blaz,2012-02-02,1.817932923,2015-08-15,3.564,10.2,18,40,2018-05-15,,0.9237454443509953,2,2016-10-27,10,3,11/16/16,5225.77,4,4232.914163,,0.11003013196012248
tws,tatu,2015-08-25,6.455852156057495,2015,8,2022-03-05T20:15:00Z,34,1141.466835,123.38072009291523,M,0.17,7,aug,twin,2009-03-01,2.945927447,2015-08-15,3.224,0.9,18,10,2018-05-15,,3.826945412311266,2,2016-10-27,2,8,11/23/16,298.271,12,1193.797226,run neat?,-0.022803609557531405
tws,fris,2015-08-26,6.464065708418891,2015,8,2022-03-05T20:51:00Z,35,3559.314363,978.4542682926829,M,0.58,24,aug,flet,2009-02-26,1.418206708,2015-08-15,21.915,3.5,7,40,2018-04-17,,1.1161924119241193,2,2016-10-27,10,3,11/16/16,3188.8,4,3740.828035,,-0.02432546045453822
tws,tatu,2015-08-26,6.455852156057495,2015,8,2022-03-05T18:44:00Z,36,5526.590565,814.9661531878476,M,1.03,38,aug,twin,2009-03-01,2.945927447,2015-08-15,28.901,5.2,7,40,2018-04-17,,0.7049636285836542,2,2016-10-27,20,1,11/8/16,7839.54,1,5178.7126260000005,,0.06859129189866028
twn,pam,2015-08-26,2.43668720054757,2015,8,2022-03-05T18:47:00Z,37,7733.593341,NA,F,0.35,21,aug,park,2013-03-08,1.796030116,2015-08-15,NA,NA,NA,NA,NA,NA,1.275648470770422,2,2016-10-27,5,5,11/21/16,6062.48,9,11785.57378,,-0.17994432188578258
tws,burn,2015-08-27,6.458590006844627,2015,8,2022-03-06T01:10:00Z,38,8414.679919,614.8737886178861,F,1.14,50,aug,blaz,2009-02-28,2.247775496,2015-08-15,28.691,8.8,7,40,2018-04-17,,0.5357723577235772,2,2016-10-27,20,1,11/8/16,15705.7,1,9373.912659,,-0.14055164099899298
tws,dame,2015-08-27,3.6030116358658453,2015,8,2022-03-05T23:22:00Z,39,1169.091814,375.21112342941615,F,0.91,44,aug,dixi,2012-01-07,1.869952088,2015-08-15,15.407,9.2,7,40,2018-04-17,,0.6088322246858833,2,2016-10-27,20,9,11/24/16,1920.22,14,1435.747448,"redo, CV's too hi, originally in batch 1, run 1",-0.20947191557649436
tws,peke,2015-08-27,4.6242299794661195,2015,8,2022-03-06T01:47:00Z,40,6765.52923,835.396670538134,M,0.91,42,aug,pans,2010-12-30,2.814510609,2015-08-15,32.744,1,7,40,2018-04-17,,0.637824235385211,2,2016-10-27,20,1,11/8/16,10607.2,1,7930.997659,,-0.15644901109062695
tws,brog,2015-08-27,6.576317590691307,2015,8,2022-03-06T01:10:00Z,41,3666.119771,562.2443828529194,F,1.05,44,aug,bow,2009-01-16,2.516084873,2015-08-15,23.087,7.9,7,40,2018-04-17,,0.6088322246858833,2,2016-10-27,20,1,11/8/16,6021.56,1,3902.00818,,-0.0694719155764943
twn,keny,2015-08-28,5.516769336071184,2015,8,2022-03-05T18:39:00Z,42,3879.197936,583.6209505941213,M,0.84,26,aug,kayl,2010-02-07,2.453114305,2015-08-15,14.161,4.1,7,40,2018-04-17,,1.0303314571607254,2,2016-10-27,10,3,11/16/16,3765,4,3049.679152,,0.18566815300693806
twn,onyx,2015-08-28,2.507871321013005,2015,8,2022-03-05T18:42:00Z,43,13040.98117,410.3170303808301,M,0.65,38,aug,opal,2013-02-10,1.631759069,2015-08-15,14.551,12.3,7,40,2018-04-17,,0.7049636285836542,2,2016-10-27,20,1,11/8/16,18498.8,1,19364.15975,,-0.31140870810133975
tws,brog,2015-08-28,6.576317590691307,2015,8,2022-03-05T20:01:00Z,44,2707.090295,650.159756097561,F,0.65,24,aug,bow,2009-01-16,2.516084873,2015-08-15,14.562,17.8,7,40,2018-04-17,,1.1161924119241193,2,2016-10-27,10,3,11/16/16,2425.29,4,2538.743216,,0.04567453954546185
tws,peke,2015-08-28,4.6242299794661195,2015,8,2022-03-05T20:24:00Z,45,4355.594868,606.4943089430893,M,0.84,32,aug,pans,2010-12-30,2.814510609,2015-08-15,9.056,11.5,18,80,2018-05-15,,0.8371443089430894,2,2016-10-27,10,3,11/16/16,5202.92,4,4214.405486,,0.033637981426471
tws,dubl,2015-08-31,6.444900752908967,2015,8,2022-03-05T20:05:00Z,46,8654.014302,1161.5544715447154,M,0.63,11,aug,dixi,2009-03-05,2.321697467,2015-08-15,11.924,8,7,40,2018-04-17,,2.435328898743533,2,2016-10-27,5,5,11/21/16,3553.53,9,3837.849086,,0.3425463159384768
gn,spor,2015-08-31,1.9356605065023955,2015,8,2022-03-05T19:21:00Z,47,2931.924932,328.0514302920807,F,0.49,27,aug,spik,2013-09-07,2.168377823,2015-08-15,8.266,12.6,1,40,2018-01-11,,0.9921710328214394,2,2016-10-27,10,3,11/16/16,2955.06,4,4103.35111,,-0.18946072851012977
gn,stre,2015-09-01,6.532511978097194,2015,9,2022-03-05T19:37:00Z,48,5241.652323,542.4057297715835,F,0.57,21,sep,sput,2009-03-04,3.06091718,2015-09-15,10.63,6.5,1,40,2018-01-11,,1.275648470770422,2,2016-10-27,5,5,11/21/16,4109.01,9,4904.907244,,0.0400556781142174
twn,davi,2015-09-01,2.0150581793292264,2015,9,2022-03-05T19:42:00Z,49,3601.026474,106.68567073170732,F,0.4,16,sep,didg,2013-09-09,1.349760438,2015-09-15,1.593,0.6,18,40,2018-05-15,,1.6742886178861789,2,2016-10-27,5,5,11/21/16,2150.78,9,3658.511752,,-0.007651600908602967
twn,ruki,2015-09-01,4.563997262149213,2015,9,2022-03-05T23:03:00Z,50,1595.603141,375.38159645232815,M,0.8,22,sep,rave,2011-02-21,2.770704997,2015-09-15,7.707,10.3,7,40,2018-04-17,,1.2176644493717665,2,2016-10-27,10,3,11/16/16,1310.38,4,1114.488843,,0.24534575742316966
tws,dame,2015-09-02,3.6878850102669403,2015,9,2022-03-05T20:14:00Z,51,7058.609466,238.95447154471543,F,0.37,14,sep,dixi,2012-01-07,1.869952088,2015-09-15,3.122,13.4,7,40,2018-04-17,,1.913472706155633,2,2016-10-27,5,5,11/21/16,3688.9,9,6783.652846,,0.01067894232584084
tws,brav,2015-09-02,2.4695414099931554,2015,9,2022-03-05T23:16:00Z,52,3767.589489,1212.1466898954704,M,1.29,42,sep,bow,2013-03-27,3.370294319,2015-09-15,47.511,2.6,7,40,2018-04-17,,0.637824235385211,2,2016-10-27,20,1,11/8/16,5906.94,1,3115.597206,,0.22355098890937306
