subj,group,year,month,sex,age,mrank,log2_avg_neo,log2_avg_cp_tar,avg_cr_resid,avg_rain,n_partners,r,f,m
dame,tws,2015,9,F,3.6878850102669403,0.957,7.328844663816233,12.227937814661269,-0.06294180633670138,7.55,11,0.33,0.25333333333333335,0.2
dame,tws,2015,10,F,3.7700205338809036,0.957,8.824064999809629,11.583310891007624,-0.12410817535435323,7.490322580645161,2,0.21875,0.353125,0.19375
dame,tws,2015,11,F,3.8548939082819986,0.957,9.995077994679955,13.49778664334668,0.0632986822454806,9.96,12,0.3,0.29,0.16666666666666666
dame,tws,2015,12,F,3.9370294318959616,0.957,11.500471448645271,13.241063984383294,0.6960106066981355,5.9,12,0.38333333333333336,0.3433333333333333,0.17666666666666667
dann,gn,2015,8,M,2.532511978097194,0,7.8708880400637975,13.132744222136603,-0.4213615148019797,8.241935483870968,1,0.36666666666666664,0.26666666666666666,0.26666666666666666
dann,gn,2015,9,M,2.617385352498289,0,8.140087162785619,11.481578318089838,-0.1342776279690713,7.55,2,0.3875,0.3,0.240625
dann,gn,2015,10,M,2.6995208761122518,0,8.055414152558136,12.217485164728794,-0.17946185638598125,7.490322580645161,5,0.3707165109034268,0.22741433021806853,0.2897196261682243
dann,gn,2015,11,M,2.784394250513347,0,12.40544032854434,12.676633236087351,0.05464859932545335,9.96,10,0.4166666666666667,0.2966666666666667,0.16333333333333333
dann,gn,2015,12,M,2.86652977412731,0,8.66103616325688,10.352594659879099,-0.07203858348591217,5.9,8,0.3375,0.34375,0.19375
davi,twn,2016,1,F,2.349075975359343,1,9.881674300648609,14.14279072766259,-0.3436532085782614,2.8548387096774195,13,0.4,0.30666666666666664,0.18333333333333332
davi,twn,2016,2,F,2.433949349760438,1,8.22687860514116,13.306612394184551,-0.11794942144465921,1.3344827586206895,7,0.3333333333333333,0.2972222222222222,0.18611111111111112
davi,twn,2016,3,F,2.513347022587269,1,8.815866872442673,12.865243219286608,-0.07237414576691563,2.5,7,0.4066666666666667,0.21,0.19666666666666666
davi,twn,2015,9,F,2.0150581793292264,1,7.208252810797021,11.71461729551167,0.052918812941546114,7.55,4,0.3,0.39,0.16333333333333333
davi,twn,2015,10,F,2.0971937029431897,1,8.131773112875175,12.876192502557457,-0.23726120122782796,7.490322580645161,7,0.3741721854304636,0.2582781456953642,0.18874172185430463
davi,twn,2015,11,F,2.1820670773442847,1,9.234118375002376,14.040117417566456,0.47228645797410157,9.96,4,0.35333333333333333,0.2833333333333333,0.15333333333333332
davi,twn,2015,12,F,2.2642026009582477,1,9.244225344596089,12.168355487778673,0.06578521722185726,5.9,9,0.39666666666666667,0.21666666666666667,0.19
dean,gn,2016,1,M,5.01574264202601,0.211,8.631735410993963,12.752105619644993,-0.2007686174435143,2.8548387096774195,3,0.4,0.31,0.17333333333333334
dean,gn,2016,2,M,5.100616016427105,0.211,8.837757204830805,11.7769632892945,-0.010773612613807092,1.3344827586206895,10,0.4722222222222222,0.2777777777777778,0.15833333333333333
dean,gn,2016,3,M,5.1800136892539355,0.211,9.044956522515676,13.79286587809198,-0.0015407446513228164,2.5,7,0.36,0.27666666666666667,0.21
dean,gn,2015,8,M,4.596851471594798,0.211,6.991199617690583,11.604831522648068,-0.1477135420258984,8.241935483870968,3,0.3463687150837989,0.4245810055865922,0.13966480446927373
dean,gn,2015,9,M,4.681724845995893,0.211,8.06859879725636,11.180484608369978,-0.04396443443677092,7.55,5,0.38333333333333336,0.36666666666666664,0.18
dean,gn,2015,10,M,4.763860369609857,0.211,7.505441352365752,11.829155166249485,-0.07320099062089351,7.490322580645161,8,0.41875,0.296875,0.175
dean,gn,2015,11,M,4.848733744010952,0.211,8.900120144317198,13.166662041626356,0.03950197931079241,9.96,7,0.4266666666666667,0.26666666666666666,0.20333333333333334
dean,gn,2015,12,M,4.930869267624915,0.211,9.515174873788315,12.859972854342418,0.03640901417006754,5.9,8,0.3933333333333333,0.30666666666666664,0.16333333333333333
dext,gn,2016,1,M,2.811772758384668,0.579,8.777998754432955,13.29809379179152,-0.19965233833639132,2.8548387096774195,8,0.3,0.409375,0.178125
dext,gn,2016,2,M,2.8966461327857633,0.579,8.19131633734636,12.698214951318796,-0.06677441422324934,1.3344827586206895,13,0.49166666666666664,0.225,0.17222222222222222
dext,gn,2016,3,M,2.976043805612594,0.579,8.479583380094876,13.466075490410573,-0.0428135889255192,2.5,12,0.31666666666666665,0.2833333333333333,0.2
dext,gn,2015,9,M,2.4777549623545516,0.579,NA,10.984859063398043,-0.27001332155604035,7.55,1,0.31438127090301005,0.41471571906354515,0.1939799331103679
dext,gn,2015,10,M,2.5598904859685145,0.579,8.469476327082788,10.920102944523713,-0.16761570497311196,7.490322580645161,1,0.30625,0.35625,0.240625
dext,gn,2015,11,M,2.64476386036961,0.579,9.187707292960424,13.844985598894347,0.19570527637610438,9.96,4,0.3787375415282392,0.3289036544850498,0.19933554817275748
dext,gn,2015,12,M,2.726899383983573,0.579,7.888410387471908,12.613475561588684,-0.08102635921453306,5.9,5,0.31666666666666665,0.38,0.22666666666666666
dubl,tws,2016,1,M,6.863791923340178,0.957,9.457027452282096,13.440649961382443,0.2650407148702604,2.8548387096774195,9,0.35785953177257523,0.3779264214046823,0.14715719063545152
dubl,tws,2016,2,M,6.9486652977412735,0.957,8.694405430985157,12.950136097090116,0.2760579343119322,1.3344827586206895,7,0.34444444444444444,0.3194444444444444,0.17777777777777778
dubl,tws,2016,3,M,7.028062970568104,0.957,9.283763184363718,13.179233369116252,-0.06813259780977425,2.5,15,0.38666666666666666,0.14666666666666667,0.15666666666666668
dubl,tws,2015,8,M,6.444900752908967,0.957,9.522244947331007,12.34818067082749,0.2988425485397601,8.241935483870968,3,0.5055555555555555,0.22777777777777777,0.17222222222222222
dubl,tws,2015,9,M,6.529774127310062,0.957,10.308426643284538,13.160059654830016,1.0625257971416413,7.55,13,0.41,0.38,0.10333333333333333
dubl,tws,2015,10,M,6.611909650924025,0.957,8.801322609350608,12.500709026823586,0.12132096454372807,7.490322580645161,5,0.365625,0.3625,0.16875
dubl,tws,2015,11,M,6.69678302532512,0.957,8.73155118206423,10.958867959090568,-0.09670131775451943,9.96,8,0.39666666666666667,0.2866666666666667,0.16
dubl,tws,2015,12,M,6.778918548939083,0.957,9.296217342070447,13.628696517701755,0.4718149336497952,5.9,12,0.3333333333333333,0.43,0.14
fris,tws,2016,1,M,6.882956878850103,0.625,9.594989145035301,13.803163559424991,0.5684813427765201,2.8548387096774195,6,0.5382059800664452,0.16611295681063123,0.16611295681063123
fris,tws,2016,2,M,6.967830253251198,0.625,8.630652572271682,13.358068679139759,0.05086267973482007,1.3344827586206895,7,0.5611111111111111,0.21388888888888888,0.1527777777777778
fris,tws,2016,3,M,7.047227926078029,0.625,9.796292144747078,13.862955732323048,-0.04143292405249882,2.5,12,0.5733333333333334,0.14333333333333334,0.12666666666666668
fris,tws,2015,8,M,6.464065708418891,0.625,9.934360612472311,11.802847560854678,-0.0242947236238957,8.241935483870968,4,0.5977653631284916,0.16759776536312848,0.1787709497206704
fris,tws,2015,9,M,6.548939082819986,0.625,7.827350748472863,12.91199424449374,0.14572237203092872,7.55,11,0.49377593360995853,0.2821576763485477,0.12863070539419086
fris,tws,2015,10,M,6.631074606433949,0.625,9.93698416678271,14.132345524884773,0.23041559240117607,7.490322580645161,3,0.4375,0.353125,0.15
fris,tws,2015,11,M,6.715947980835044,0.625,9.905115568015903,12.957541588283727,0.5791240845862851,9.96,16,0.43,0.26,0.14333333333333334
fris,tws,2015,12,M,6.798083504449007,0.625,8.965441602351238,13.468478871991596,0.2973549761579176,5.9,8,0.46511627906976744,0.21926910299003322,0.19269102990033224
kabu,twn,2016,1,F,2.7433264887063653,0.455,9.559599321348685,13.680040189836086,-0.04296690756086207,2.8548387096774195,9,0.391304347826087,0.2976588628762542,0.21070234113712374
kabu,twn,2016,2,F,2.8281998631074607,0.455,8.787505117346381,14.01398162033664,-0.30370115863465763,1.3344827586206895,4,0.3388888888888889,0.39166666666666666,0.14166666666666666
kabu,twn,2016,3,F,2.9075975359342916,0.455,9.483168787052831,11.233573039507117,-0.07427947717580158,2.5,8,0.47333333333333333,0.18333333333333332,0.19666666666666666
kabu,twn,2015,10,F,2.4914442162902124,0.455,NA,10.407643716678912,-0.11155469773985853,7.490322580645161,8,0.31974921630094044,0.25705329153605017,0.20376175548589343
kabu,twn,2015,11,F,2.5763175906913074,0.455,8.559596507325058,12.755234925530507,0.20572237203092866,9.96,8,0.3177257525083612,0.3110367892976589,0.21070234113712374
kabu,twn,2015,12,F,2.6584531143052703,0.455,8.779819560132045,12.725044013435053,0.06791881294154616,5.9,2,0.37333333333333335,0.27666666666666667,0.23
keny,twn,2016,1,M,5.935660506502396,0.455,9.088635655016034,13.152380746511497,-0.05869499208022943,2.8548387096774195,4,0.3488372093023256,0.3488372093023256,0.15946843853820597
keny,twn,2016,2,M,6.020533880903491,0.455,8.483129706673738,12.103151651816912,-0.15810353723493736,1.3344827586206895,8,0.4444444444444444,0.29444444444444445,0.125
keny,twn,2016,3,M,6.099931553730322,0.455,9.636325355078004,11.441992956807615,-0.06535981293743992,2.5,9,0.37,0.25666666666666665,0.18
keny,twn,2015,8,M,5.516769336071184,0.455,9.658698317845621,12.062968755710717,-0.12543094501856483,8.241935483870968,5,0.315,0.385,0.13
keny,twn,2015,9,M,5.601642710472279,0.455,8.74378867369445,11.240465870893967,-0.053589407752240054,7.55,5,0.31333333333333335,0.38333333333333336,0.12333333333333334
keny,twn,2015,10,M,5.683778234086242,0.455,8.805814962513617,13.05624371662895,-0.19172825459631412,7.490322580645161,6,0.26,0.31666666666666665,0.21666666666666667
keny,twn,2015,11,M,5.768651608487337,0.455,8.522865831772647,11.096009629899157,0.10265149771532084,9.96,6,0.38666666666666666,0.27,0.19333333333333333
keny,twn,2015,12,M,5.8507871321013,0.455,9.34982625152355,12.499863530524784,0.24582309675314415,5.9,10,0.42524916943521596,0.2857142857142857,0.15946843853820597
king,twn,2016,1,M,4.202600958247776,0.364,8.335464312434436,14.331479198300269,-0.2628727560866316,2.8548387096774195,5,0.36454849498327757,0.3712374581939799,0.15719063545150502
king,twn,2016,2,M,4.287474332648871,0.364,7.986237145024735,11.74351961893678,-0.2720722325374849,1.3344827586206895,6,0.39444444444444443,0.3111111111111111,0.1638888888888889
king,twn,2016,3,M,4.3668720054757015,0.364,7.960296597785661,11.11722779582172,-0.17208048027986453,2.5,8,0.3787375415282392,0.23255813953488372,0.18272425249169436
king,twn,2015,8,M,3.783709787816564,0.364,7.419815652822064,11.614315789132537,0.05641059224775992,8.241935483870968,6,0.35555555555555557,0.2722222222222222,0.21666666666666667
king,twn,2015,10,M,3.9507186858316223,0.364,8.184261347158062,11.182388279117973,-0.2207773008354454,7.490322580645161,7,0.296875,0.16875,0.196875
king,twn,2015,11,M,4.035592060232717,0.364,7.394772187546052,11.321242380171432,0.03464859932545333,9.96,6,0.39,0.23,0.16333333333333333
king,twn,2015,12,M,4.117727583846681,0.364,8.38210483062575,8.723671233672647,-0.02174905206187293,5.9,5,0.41333333333333333,0.27666666666666667,0.16
mayh,gn,2016,1,F,5.839835728952772,0.789,8.466638677191476,13.622529777019235,-0.24559281148131984,2.8548387096774195,10,0.3612040133779264,0.2809364548494983,0.1505016722408027
mayh,gn,2016,2,F,5.924709103353867,0.789,7.569978091253445,11.621522352968407,-0.15412615854045883,1.3344827586206895,23,0.38333333333333336,0.24166666666666667,0.16111111111111112
mayh,gn,2016,3,F,6.0041067761806985,0.789,8.45600646170957,11.323982155513548,-0.04627131248660343,2.5,12,0.2986577181208054,0.2684563758389262,0.22818791946308725
mayh,gn,2015,10,F,5.587953456536619,0.789,8.57769600072322,12.702369332516458,-0.15943774239599015,7.490322580645161,4,0.25625,0.4875,0.146875
mayh,gn,2015,11,F,5.672826830937714,0.789,9.283410133514208,14.761891645493256,0.17641059224776,9.96,8,0.2833333333333333,0.36,0.15666666666666668
mayh,gn,2015,12,F,5.754962354551677,0.789,9.11109066290512,11.361805969779725,0.11640901417006755,5.9,8,0.41333333333333333,0.28,0.19333333333333333
mend,gn,2016,1,F,5.946611909650924,0.737,8.764220146736443,15.841778849903761,-0.1194610531906896,2.8548387096774195,6,0.48,0.22666666666666666,0.20666666666666667
mend,gn,2016,2,F,6.031485284052019,0.737,9.056347441528747,13.736360074953987,0.013205876224617594,1.3344827586206895,18,0.4376731301939058,0.2659279778393352,0.19390581717451524
mend,gn,2016,3,F,6.11088295687885,0.737,8.252339064791926,11.650123601844022,-0.05500558711574195,2.5,16,0.46488294314381273,0.16722408026755853,0.25418060200668896
mend,gn,2015,8,F,5.5277207392197125,0.737,6.761865899378272,11.796676188688826,-0.015506432952100753,8.241935483870968,11,0.38333333333333336,0.3277777777777778,0.14444444444444443
mend,gn,2015,9,F,5.6125941136208075,0.737,7.519953076138069,10.618153573609261,-0.039889741318129154,7.55,4,0.25666666666666665,0.48333333333333334,0.16
mend,gn,2015,10,F,5.69472963723477,0.737,8.146026294771175,13.804407699806456,0.2139194789864695,7.490322580645161,5,0.278125,0.3625,0.159375
mend,gn,2015,11,F,5.779603011635865,0.737,10.521971004998461,15.402648224659675,0.3501747102633826,9.96,6,0.4012539184952978,0.22570532915360503,0.22570532915360503
mend,gn,2015,12,F,5.861738535249829,0.737,9.098886754709806,13.2459238976378,-0.007014789210405874,5.9,9,0.3566666666666667,0.30666666666666664,0.22333333333333333
mole,gn,2016,1,F,2.74880219028063,0.737,10.181807388319964,12.787627937612772,-0.13934815988013124,2.8548387096774195,13,0.44,0.23666666666666666,0.24333333333333335
