"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","sex","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","neo_CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","fai","fai_cat","avg_rain","cr_resid"
"gn","ropa","2015-08-13",5.65092402464066,2015,8,"2022-03-05 10:25:00",13,3683.853532,NA,"M",0.8,32,"aug","robe","2009-12-20",3.529089665,"2015-08-15",NA,NA,NA,NA,NA,NA,0.837144308943089,1,"2016-10-26",10,3,"11/16/16",4400.5,3,3742.661026,"","aug",0,0,0,0.25,0.622222222222222,0.1,0,3,4,180,0.263,44096.4490384615,"low",8.24193548387097,-0.00636201857352875
"gn","renl","2015-08-13",2.29979466119096,2015,8,"2022-03-05 11:42:00",14,4692.501921,475.444390243902,"M",0.72,40,"aug","robe","2013-04-27",1.834360027,"2015-08-15",17.748,10.9,1,40,"2018-01-11",NA,0.669715447154472,1,"2016-10-26",20,1,"11/8/16",7006.71,1,6621.404245,"","aug",0,0,0,0.472222222222222,0.25,0.222222222222222,0,0,1,180,0.263,44096.4490384615,"low",8.24193548387097,-0.293761275265575
"gn","pira","2015-08-13",4.54757015742642,2015,8,"2022-03-05 11:44:00",15,8537.867378,272.734918699187,"M",0.92,40,"aug","pinc","2011-01-27",1.35797399,"2015-08-15",10.181,14,1,40,"2018-01-11",NA,0.669715447154472,1,"2016-10-26",20,1,"11/8/16",12748.5,1,9428.437301,"","aug",0,0,0.0777777777777778,0.438888888888889,0.266666666666667,0.155555555555556,0,2,1,180,0.947,44096.4490384615,"low",8.24193548387097,-0.0937612752655753
"gn","spad","2015-08-13",5.57152635181383,2015,8,"2022-03-05 14:18:00",16,3989.494919,464.648577235772,"F",0.76,24,"aug","spik","2010-01-18",2.258726899,"2015-08-15",10.407,0.7,1,40,"2018-01-11",NA,1.11619241192412,1,"2016-10-26",10,3,"11/16/16",3574.2,3,3199.880167,"","aug",0,0.0773480662983425,0.143646408839779,0.408839779005525,0.176795580110497,0.160220994475138,0,1,2,181,0.368,44096.4490384615,"low",8.24193548387097,0.155674539545462
"tws","burn","2015-08-14",6.45859000684463,2015,8,"2022-03-05 10:59:00",17,6407.469055,NA,"F",1.07,32,"aug","blaz","2009-02-28",2.247775496,"2015-08-15",NA,NA,NA,NA,NA,NA,0.837144308943089,1,"2016-10-26",10,3,"11/16/16",7653.96,3,4867.106697,"","aug",0,0,0.05,0.327777777777778,0.355555555555556,0.2,0,0,1,180,0.13,7755239.42916667,"low",8.24193548387097,0.263637981426471
"tws","burn","2015-08-17",6.45859000684463,2015,8,"2022-03-05 15:29:00",18,11939.1289,382.184281842818,"F",1,48,"aug","blaz","2009-02-28",2.247775496,"2015-08-15",17.12,1.6,1,40,"2018-01-11",NA,0.55809620596206,1,"2016-10-26",20,1,"11/8/16",21392.6,1,14555.66418,"","aug",0,0,0.05,0.327777777777778,0.355555555555556,0.2,0,0,1,180,0.13,7755239.42916667,"low",8.24193548387097,-0.226523230530678
"gn","mend","2015-08-18",5.52772073921971,2015,8,"2022-03-05 11:36:00",19,5772.636061,NA,"F",0.86,31,"aug","merl","2010-02-03",2.236824093,"2015-08-15",NA,NA,NA,NA,NA,NA,0.864148964070286,1,"2016-10-26",10,3,"11/16/16",6680.14,3,5285.128726,"","aug",0.0166666666666667,0.0111111111111111,0.0388888888888889,0.383333333333333,0.327777777777778,0.144444444444444,0,1,1,180,0.737,44096.4490384615,"low",8.24193548387097,0.079185823769559
"tws","dubl","2015-08-18",6.44490075290897,2015,8,"2022-03-05 14:40:00",20,2039.360075,309.102380952381,"M",0.96,28,"aug","dixi","2009-03-05",2.321697467,"2015-08-15",8.077,0.5,7,40,"2018-04-17",NA,0.956736353077816,1,"2016-10-26",10,3,"11/16/16",2131.58,3,1510.771767,"","aug",0,0.0277777777777778,0,0.505555555555556,0.227777777777778,0.172222222222222,0,4,1,180,0.957,7755239.42916667,"low",8.24193548387097,0.255326597807598
"twn","petr","2015-08-19",5.36618754277892,2015,8,"2022-03-05 15:20:00",21,3209.410366,523.940718157182,"F",0.56,24,"aug","park","2010-04-03",2.565366188,"2015-08-15",11.735,3.2,7,40,"2018-04-17",NA,1.11619241192412,1,"2016-10-26",10,3,"11/16/16",2875.32,3,3493.547195,"","aug",0,0.0555555555555556,0.172222222222222,0.3,0.277777777777778,0.127777777777778,0,0,0,180,0.091,521089.197916667,"low",8.24193548387097,-0.044325460454538
"gn","renl","2015-08-20",2.29979466119096,2015,8,"2022-03-05 12:15:00",22,2150.91766,472.313098464318,"M",0.32,18,"aug","robe","2013-04-27",1.834360027,"2015-08-15",7.934,0.1,4,40,"2018-01-25",NA,1.48825654923216,1,"2016-10-26",5,5,"11/21/16",1445.26,9,3073.01345,"","aug",0,0,0,0.472222222222222,0.25,0.222222222222222,0,0,1,180,0.263,44096.4490384615,"low",8.24193548387097,-0.136317312803863
