"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","sex","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","neo_CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","fai","fai_cat","avg_rain","cr_resid"
"tws","bike","2015-10-08",6.55441478439425,2015,10,"2022-03-05 15:53:00",155,12824.15786,385.648943089431,"M",0.65,30,"oct","bif","2009-03-26",2.264202601,"2015-10-15",10.797,2.8,9,40,"2018-04-26",NA,0.892953929539295,3,"2016-10-28",10,4,"11/18/16",14361.5,5,15033.32001,"","oct",0,0.00940438871473354,0,0.38871473354232,0.326018808777429,0.181818181818182,0,0,0,319,0.261,8685715.30416667,"low",7.49032258064516,-0.105350126052557
"gn","dais","2015-10-09",5.64544832306639,2015,10,"2022-03-05 12:10:00",156,1867.48813,730.954227642276,"F",0.6,20,"oct","daff","2010-02-21",1.98220397,"2015-10-15",13.643,1.1,4,40,"2018-01-25",NA,1.33943089430894,3,"2016-10-28",5,7,"11/23/16",1394.24,10,1581.083274,"","oct",0,0.01875,0.03125,0.29375,0.390625,0.178125,0,1,2,320,0,6099094.65192308,"low",7.49032258064516,0.0946818066400614
"tws","dame","2015-10-09",3.7700205338809,2015,10,"2022-03-05 09:35:00",157,2670.541559,241.664849354376,"F",0.91,34,"oct","dixi","2012-01-07",1.869952088,"2015-10-15",7.668,13.6,9,40,"2018-04-26",NA,0.787900526064084,3,"2016-10-28",10,4,"11/18/16",3389.44,5,2534.282441,"","oct",0,0.053125,0.034375,0.21875,0.353125,0.19375,0,0,0,320,0.957,8685715.30416667,"low",7.49032258064516,0.0522909202446835
"tws","atom","2015-10-09",6.64476386036961,2015,10,"2022-03-05 11:56:00",158,10500.04992,710.936432926829,"F",0.92,32,"oct","arte","2009-02-21",2.795345654,"2015-10-15",21.231,10.9,9,40,"2018-04-26",NA,0.837144308943089,3,"2016-10-28",10,4,"11/18/16",12542.7,5,9276.233324,"","oct",0,0.05625,0.04375,0.384375,0.284375,0.140625,0,0,3,320,0.556,8685715.30416667,"low",7.49032258064516,0.113637981426471
"twn","pam","2015-10-09",2.60369609856263,2015,10,"2022-03-05 10:58:00",159,11639.48164,339.575976921059,"F",0.45,31,"oct","park","2013-03-08",1.796030116,"2015-10-15",9.824,16.8,9,40,"2018-04-26",NA,0.864148964070286,3,"2016-10-28",10,4,"11/18/16",13469.3,5,20365.77628,"","oct",0.0199335548172757,0.026578073089701,0.0199335548172757,0.242524916943522,0.315614617940199,0.215946843853821,0,0,0,301,0.091,5597218.68541667,"low",7.49032258064516,-0.330814176230441
"twn","allo","2015-10-09",2.5160848733744,2015,10,"2022-03-05 14:52:00",160,757.85,736.384164015553,"M",0.69,23,"oct","ambe","2013-04-09",3.394934976,"2015-10-15",15.806,14.4,9,40,"2018-04-26",NA,1.16472251679039,3,"2016-10-28",10,4,"11/18/16",650.67,5,641.6233333,"","oct",0,0.0133333333333333,0,0.25,0.313333333333333,0.216666666666667,0,0,0,300,0.636,5597218.68541667,"low",7.49032258064516,0.110552044566918
"gn","stre","2015-10-09",6.61464750171116,2015,10,"2022-03-05 14:30:00",161,11883.80469,535.996634524485,"F",1.12,43,"oct","sput","2009-03-04",3.06091718,"2015-10-15",21.509,11.2,5,40,"2018-01-25",NA,0.622991113632067,3,"2016-10-28",20,1,"11/8/16",19075.4,1,11588.41627,"","oct",0,0.01875,0,0.30625,0.340625,0.21875,0,0,0,320,0.684,6099094.65192308,"low",7.49032258064516,0.0270814327490415
"tws","sevi","2015-10-12",2.51882272416153,2015,10,"2022-03-05 14:48:00",162,9221.517007,1532.09026049444,"F",0.8,49,"oct","sava","2013-04-08",1.735797399,"2015-10-15",70.06,14.5,9,40,"2018-04-26",NA,0.546706487473038,3,"2016-10-28",20,1,"11/8/16",16867.4,1,14345.86083,"","oct",0,0.003125,0.025,0.315625,0.346875,0.1875,0,0,0,320,0.87,8685715.30416667,"low",7.49032258064516,-0.453495539682233
"tws","tatu","2015-10-12",6.62286105407255,2015,10,"2022-03-05 12:08:00",163,2591.629589,582.751133932392,"M",0.63,19,"oct","twin","2009-03-01",2.945927447,"2015-10-15",10.333,8.3,9,40,"2018-04-26",NA,1.40992725716731,3,"2016-10-28",5,7,"11/23/16",1838.13,10,1985.199377,"","oct",0.00623052959501558,0.0124610591900312,0.00934579439252336,0.395638629283489,0.26791277258567,0.21183800623053,0,0,4,321,1,8685715.30416667,"low",7.49032258064516,0.149224143000701
"gn","pira","2015-10-12",4.71457905544148,2015,10,"2022-03-05 10:53:00",164,5496.402203,362.838867033832,"M",0.7,31,"oct","pinc","2011-01-27",1.35797399,"2015-10-15",10.497,3.7,1,40,"2018-01-11",NA,0.864148964070286,3,"2016-10-28",10,4,"11/18/16",6360.48,5,6182.445659,"","oct",0.053125,0.0375,0.04375,0.365625,0.271875,0.1875,0,2,0,320,0.947,6099094.65192308,"low",7.49032258064516,-0.080814176230441
"tws","brog","2015-10-13",6.74332648870637,2015,10,"2022-03-05 12:07:00",165,1819.332241,522.891497289973,"F",1.49,48,"oct","bow","2009-01-16",2.516084873,"2015-10-15",23.423,0.2,9,40,"2018-04-26",NA,0.55809620596206,3,"2016-10-28",20,1,"11/8/16",3259.89,1,1488.624402,"","oct",0,0,0.08,0.29,0.336666666666667,0.18,0,1,0,300,0.826,8685715.30416667,"low",7.49032258064516,0.263476769469322
"twn","davi","2015-10-13",2.09719370294319,2015,10,"2022-03-05 11:46:00",166,8775.209381,248.433520950594,"F",0.28,26,"oct","didg","2013-09-09",1.349760438,"2015-10-15",6.028,8.6,9,40,"2018-04-26",NA,1.03033145716073,3,"2016-10-28",10,4,"11/18/16",8516.88,5,20696.21624,"","oct",0,0.0231788079470199,0.00993377483443709,0.374172185430464,0.258278145695364,0.188741721854305,0,0,0,302,1,5597218.68541667,"low",7.49032258064516,-0.374331846993062
"twn","keny","2015-10-13",5.68377823408624,2015,10,"2022-03-05 08:45:00",167,3173.796387,277.053839205059,"M",0.36,18,"oct","kayl","2010-02-07",2.453114305,"2015-10-15",4.654,1.1,9,40,"2018-04-26",NA,1.48825654923216,3,"2016-10-28",5,7,"11/23/16",2132.56,10,4030.576929,"","oct",0.0866666666666667,0,0,0.26,0.316666666666667,0.216666666666667,0,0,1,300,0.455,5597218.68541667,"low",7.49032258064516,-0.0963173128038628
"twn","onyx","2015-10-13",2.67488021902806,2015,10,"2022-03-05 09:55:00",168,7965.101613,278.199796747967,"M",0.5,32,"oct","opal","2013-02-10",1.631759069,"2015-10-15",8.308,1.3,9,40,"2018-04-26",NA,0.837144308943089,3,"2016-10-28",10,4,"11/18/16",9514.61,5,12947.60506,"","oct",0.0566666666666667,0.04,0.0266666666666667,0.433333333333333,0.196666666666667,0.15,0,0,0,300,0.909,5597218.68541667,"low",7.49032258064516,-0.306362018573529
"tws","dubl","2015-10-13",6.61190965092402,2015,10,"2022-03-05 17:15:00",169,3307.537073,513.10918699187,"M",0.6,20,"oct","dixi","2009-03-05",2.321697467,"2015-10-15",9.577,15.3,9,40,"2018-04-26",NA,1.33943089430894,4,"2016-11-01",5,7,"11/23/16",2469.36,10,2800.281008,"","oct",0,0,0,0.365625,0.3625,0.16875,0,3,0,320,0.957,8685715.30416667,"low",7.49032258064516,0.0946818066400614
"tws","tatu","2015-10-13",6.62286105407255,2015,10,"2022-03-05 16:13:00",170,1296.186028,509.653455284553,"M",0.34,10,"oct","twin","2009-03-01",2.945927447,"2015-10-15",19.025,8.5,9,10,"2018-04-26",NA,2.67886178861789,4,"2016-11-01",2,8,"11/23/16",483.857,12,968.2924995,"","oct",0.00623052959501558,0.0124610591900312,0.00934579439252336,0.395638629283489,0.26791277258567,0.21183800623053,0,0,4,321,1,8685715.30416667,"low",7.49032258064516,0.0763345228122804
"tws","dubl","2015-10-13",6.61190965092402,2015,10,"2022-03-05 15:55:00",171,NA,NA,"M",NA,NA,"oct","dixi","2009-03-05",2.321697467,"2015-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","oct",0,0,0,0.365625,0.3625,0.16875,0,3,0,320,0.957,8685715.30416667,"low",7.49032258064516,NA
"tws","brav","2015-10-13",2.55167693360712,2015,10,"2022-03-05 15:06:00",172,4074.220011,570.207908351811,"M",0.74,22,"oct","bow","2013-03-27",3.370294319,"2015-10-15",11.707,14.5,9,40,"2018-04-26",NA,1.21766444937177,4,"2016-11-01",10,4,"11/18/16",3345.93,5,3076.476397,"","oct",0.009375,0.021875,0.0125,0.3125,0.31875,0.2125,0,1,0,320,0.826,8685715.30416667,"low",7.49032258064516,0.18534575742317
"tws","sevi","2015-10-15",2.51882272416153,2015,10,"2022-03-05 10:55:00",173,3600.247371,1183.4854200542,"F",0.82,45,"oct","sava","2013-04-08",1.735797399,"2015-10-15",49.701,10.8,9,40,"2018-04-26",NA,0.595302619692864,4,"2016-11-01",20,1,"11/8/16",6047.76,1,5018.213706,"","oct",0,0.003125,0.025,0.315625,0.346875,0.1875,0,0,0,320,0.87,8685715.30416667,"low",7.49032258064516,-0.326109056067234
"tws","burn","2015-10-15",6.62559890485969,2015,10,"2022-03-05 09:05:00",174,6218.173984,406.857285803627,"F",0.6,26,"oct","blaz","2009-02-28",2.247775496,"2015-10-15",9.872,9,9,40,"2018-04-26",NA,1.03033145716073,4,"2016-11-01",10,4,"11/18/16",6035.12,5,6843.891501,"","oct",0,0.0125,0.040625,0.28125,0.3625,0.209375,0,0,1,320,0.13,8685715.30416667,"low",7.49032258064516,-0.0543318469930618
"tws","brog","2015-10-15",6.74332648870637,2015,10,"2022-03-05 10:46:00",175,9932.581688,1088.02609368951,"F",1.52,42,"oct","bow","2009-01-16",2.516084873,"2015-10-15",42.646,13.2,10,40,"2018-04-27",NA,0.637824235385211,4,"2016-11-01",20,1,"11/8/16",15572.6,1,6970.854161,"","oct",0,0,0.08,0.29,0.336666666666667,0.18,0,1,0,300,0.826,8685715.30416667,"low",7.49032258064516,0.453550988909373
"tws","tatu","2015-10-15",6.62286105407255,2015,10,"2022-03-05 14:22:00",176,2103.192249,NA,"M",0.22,6,"oct","twin","2009-03-01",2.945927447,"2015-10-15",NA,NA,NA,NA,NA,NA,4.46476964769648,4,"2016-11-01",2,8,"11/23/16",471.064,12,1456.886407,"","oct",0.00623052959501558,0.0124610591900312,0.00934579439252336,0.395638629283489,0.26791277258567,0.21183800623053,0,0,4,321,1,8685715.30416667,"low",7.49032258064516,0.0506494286554562
"tws","boyd","2015-10-15",3.52908966461328,2015,10,"2022-03-05 14:38:00",177,6083.37621,279.698683701123,"F",0.92,42,"oct","buai","2012-04-04",2.740588638,"2015-10-15",10.963,5.2,10,40,"2018-04-27",NA,0.637824235385211,4,"2016-11-01",20,1,"11/8/16",9537.7,1,7053.818602,"","oct",0,0.046875,0.01875,0.278125,0.378125,0.203125,0,2,2,320,0.217,8685715.30416667,"low",7.49032258064516,-0.146449011090627
"gn","dais","2015-10-16",5.64544832306639,2015,10,"2022-03-05 09:20:00",178,5175.025203,333.913743708866,"F",0.52,21,"oct","daff","2010-02-21",1.98220397,"2015-10-15",6.544,17.9,1,40,"2018-01-11",NA,1.27564847077042,4,"2016-11-01",5,7,"11/23/16",4056.78,10,5308.191341,"","oct",0,0.01875,0.03125,0.29375,0.390625,0.178125,0,1,2,320,0,6099094.65192308,"low",7.49032258064516,-0.00994432188578239
"gn","ting","2015-10-16",4.73921971252567,2015,10,"2022-03-05 15:20:00",179,5833.073502,236.162815575524,"M",0.72,38,"oct","tang","2011-01-18",2.704996578,"2015-10-15",8.375,10.9,1,40,"2018-01-11",NA,0.704963628583654,4,"2016-11-01",20,1,"11/8/16",8274.29,1,7819.278795,"","oct",0.021875,0.021875,0.01875,0.41875,0.278125,0.1625,0,1,1,320,0.526,6099094.65192308,"low",7.49032258064516,-0.24140870810134
"gn","spad","2015-10-16",5.73853524982888,2015,10,"2022-03-05 09:48:00",180,3092.350484,NA,"F",0.38,21,"oct","spik","2010-01-18",2.258726899,"2015-10-15",NA,NA,NA,NA,NA,NA,1.27564847077042,4,"2016-11-01",5,7,"11/23/16",2424.14,10,4340.527955,"","oct",0.003125,0.0125,0.025,0.2875,0.425,0.178125,0,3,4,320,0.368,6099094.65192308,"low",7.49032258064516,-0.149944321885782
"gn","dann","2015-10-16",2.69952087611225,2015,10,"2022-03-05 11:40:00",181,4873.525133,133.663556026865,"M",0.28,23,"oct","daff","2013-02-01",1.552361396,"2015-10-15",2.869,3.8,1,40,"2018-01-11",NA,1.16472251679039,4,"2016-11-01",10,4,"11/18/16",4184.28,5,10167.8976,"","oct",0.0155763239875389,0.0155763239875389,0.0186915887850467,0.370716510903427,0.227414330218069,0.289719626168224,0,0,6,321,0,6099094.65192308,"low",7.49032258064516,-0.299447955433082
"twn","king","2015-10-19",3.95071868583162,2015,10,"2022-03-05 12:10:00",182,3199.97818,331.34927878311,"M",0.48,31,"oct","kipp","2011-11-02",2.045174538,"2015-10-15",9.586,6,10,40,"2018-04-27",NA,0.864148964070286,4,"2016-11-01",10,4,"11/18/16",3703.04,5,5249.109377,"","oct",0.25625,0,0.0125,0.296875,0.16875,0.196875,0,0,1,320,0.364,5597218.68541667,"low",7.49032258064516,-0.300814176230441
"twn","ruki","2015-10-20",4.64613278576318,2015,10,"2022-03-05 09:00:00",183,1418.658232,133.005487804878,"M",0.12,6,"oct","rave","2011-02-21",2.770704997,"2015-10-15",2.979,3.3,10,10,"2018-04-27",NA,4.46476964769648,4,"2016-11-01",2,8,"11/23/16",317.745,12,1801.631372,"","oct",0.0833333333333333,0.00666666666666667,0.00666666666666667,0.31,0.27,0.203333333333333,0,0,0,300,0.273,5597218.68541667,"low",7.49032258064516,-0.0493505713445438
"tws","bong","2015-10-20",2.4476386036961,2015,10,"2022-03-05 11:55:00",184,1574.263746,420.543031358885,"M",0.16,7,"oct","bonn","2013-05-04",1.971252567,"2015-10-15",10.989,14.5,10,10,"2018-04-27",NA,3.82694541231127,4,"2016-11-01",2,8,"11/23/16",411.363,12,1749.33788,"","oct",0.04375,0.003125,0,0.359375,0.303125,0.18125,0,0,0,320,0.696,8685715.30416667,"low",7.49032258064516,-0.0328036095575318
"tws","fris","2015-10-20",6.63107460643395,2015,10,"2022-03-05 11:12:00",185,4438.596176,409.211020776874,"M",1.52,27,"oct","flet","2009-02-26",1.418206708,"2015-10-15",10.311,3.6,10,40,"2018-04-27",NA,0.992171032821439,4,"2016-11-01",10,4,"11/18/16",4473.62,5,2002.552727,"","oct",0,0,0,0.4375,0.353125,0.15,0,0,1,320,0.625,8685715.30416667,"low",7.49032258064516,0.840539271489871
"twn","amos","2015-10-21",5.65913757700205,2015,10,"2022-03-05 10:50:00",186,1444.726236,281.030460704607,"M",0.24,15,"oct","ambe","2010-02-16",2.650239562,"2015-10-15",3.934,3.3,10,40,"2018-04-27",NA,1.78590785907859,4,"2016-11-01",5,7,"11/23/16",808.959,10,2293.420688,"","oct",0.06,0.0266666666666667,0.01,0.333333333333333,0.263333333333333,0.203333333333333,0,1,2,300,0.636,5597218.68541667,"low",7.49032258064516,-0.143444433208779
"twn","king","2015-10-21",3.95071868583162,2015,10,"2022-03-05 11:50:00",187,1484.611104,250.403080872914,"M",0.34,19,"oct","kipp","2011-11-02",2.045174538,"2015-10-15",4.44,11.9,19,40,"2018-05-16",NA,1.40992725716731,4,"2016-11-01",5,7,"11/23/16",1052.97,10,2107.198931,"","oct",0.25625,0,0.0125,0.296875,0.16875,0.196875,0,0,1,320,0.364,5597218.68541667,"low",7.49032258064516,-0.140775856999299
"twn","allo","2015-10-21",2.5160848733744,2015,10,"2022-03-05 11:14:00",188,1811.598144,229.310569105691,"M",0.17,9,"oct","ambe","2013-04-09",3.394934976,"2015-10-15",7.704,11.2,10,10,"2018-04-27",NA,2.97651309846432,11,"2016-11-04",2,8,"11/23/16",608.631,12,2435.979359,"","oct",0,0.0133333333333333,0,0.25,0.313333333333333,0.216666666666667,0,0,0,300,0.636,5597218.68541667,"low",7.49032258064516,-0.0699610624791196
"twn","onyx","2015-10-21",2.67488021902806,2015,10,"2022-03-05 11:55:00",189,10655.77157,NA,"M",0.26,17,"oct","opal","2013-02-10",1.631759069,"2015-10-15",NA,NA,NA,NA,NA,NA,1.57580105212817,4,"2016-11-01",5,7,"11/23/16",6762.13,10,17696.14321,"","oct",0.0566666666666667,0.04,0.0266666666666667,0.433333333333333,0.196666666666667,0.15,0,0,0,300,0.909,5597218.68541667,"low",7.49032258064516,-0.171942560773631
"gn","dext","2015-10-22",2.55989048596851,2015,10,"2022-03-05 11:21:00",190,1363.582747,319.090708478513,"M",0.18,14,"oct","dj","2013-03-24",1.80698152,"2015-10-15",4.169,3.9,4,40,"2018-01-25",NA,1.91347270615563,4,"2016-11-01",5,7,"11/23/16",712.622,10,2693.73691,"","oct",0.00625,0,0,0.30625,0.35625,0.240625,0,0,0,320,0.579,6099094.65192308,"low",7.49032258064516,-0.179321057674159
"gn","stre","2015-10-22",6.61464750171116,2015,10,"2022-03-05 11:14:00",191,2585.476667,372.726113821138,"F",0.44,25,"oct","sput","2009-03-04",3.06091718,"2015-10-15",8.696,0.6,1,40,"2018-01-11",NA,1.07154471544715,4,"2016-11-01",10,4,"11/18/16",2412.85,5,3731.179167,"","oct",0,0.01875,0,0.30625,0.340625,0.21875,0,0,0,320,0.684,6099094.65192308,"low",7.49032258064516,-0.189286757641198
"tws","fris","2015-10-22",6.63107460643395,2015,10,"2022-03-05 12:10:00",192,27839.55025,584.408581752484,"M",0.62,36,"oct","flet","2009-02-26",1.418206708,"2015-10-15",19.634,12.6,10,40,"2018-04-27",NA,0.74412827461608,4,"2016-11-01",10,4,"11/18/16",37412.3,5,41057.3746,"","oct",0,0,0,0.4375,0.353125,0.15,0,0,1,320,0.625,8685715.30416667,"low",7.49032258064516,-0.28939130959792
"twn","pam","2015-10-22",2.60369609856263,2015,10,"2022-03-05 11:38:00",193,NA,NA,"F",NA,NA,"oct","park","2013-03-08",1.796030116,"2015-10-15",NA,NA,NA,NA,NA,NA,NA,4,"2016-11-01",NA,NA,"",NA,NA,NA,"","oct",0.0199335548172757,0.026578073089701,0.0199335548172757,0.242524916943522,0.315614617940199,0.215946843853821,0,0,0,301,0.091,5597218.68541667,"low",7.49032258064516,NA
"twn","ruki","2015-10-22",4.64613278576318,2015,10,"2022-03-05 11:06:00",194,2959.439075,375.643394308943,"M",0.24,16,"oct","rave","2011-02-21",2.770704997,"2015-10-15",5.609,14.7,10,40,"2018-04-27",NA,1.67428861788618,4,"2016-11-01",5,7,"11/23/16",1767.58,10,5011.137202,"","oct",0.0833333333333333,0.00666666666666667,0.00666666666666667,0.31,0.27,0.203333333333333,0,0,0,300,0.273,5597218.68541667,"low",7.49032258064516,-0.167651600908603
"twn","petr","2015-10-22",5.53319644079398,2015,10,"2022-03-05 10:38:00",195,13634.10937,733.387762088147,"F",0.36,19,"oct","park","2010-04-03",2.565366188,"2015-10-15",13.004,7,10,40,"2018-04-27",NA,1.40992725716731,4,"2016-11-01",5,7,"11/23/16",9670.08,10,18276.62591,"","oct",0,0.0266666666666667,0.0766666666666667,0.2,0.363333333333333,0.193333333333333,0,0,0,300,0.091,5597218.68541667,"low",7.49032258064516,-0.120775856999299
"twn","safi","2015-10-22",2.63381245722108,2015,10,"2022-03-05 11:50:00",196,1668.437218,179.215853658537,"F",0.26,7,"oct","saph","2013-02-25",1.741273101,"2015-10-15",4.683,13.1,19,10,"2018-05-16",NA,3.82694541231127,4,"2016-11-01",2,9,"11/24/16",435.971,13,1140.913477,"","oct",0,0.07,0.07,0.226666666666667,0.29,0.183333333333333,0,0,0,300,0.818,5597218.68541667,"low",7.49032258064516,0.0671963904424681
"gn","dann","2015-10-23",2.69952087611225,2015,10,"2022-03-05 09:46:00",197,NA,NA,"M",NA,NA,"oct","daff","2013-02-01",1.552361396,"2015-10-15",NA,NA,NA,NA,NA,NA,NA,4,"2016-11-01",NA,NA,"",NA,NA,NA,"","oct",0.0155763239875389,0.0155763239875389,0.0186915887850467,0.370716510903427,0.227414330218069,0.289719626168224,0,0,6,321,0,6099094.65192308,"low",7.49032258064516,NA
"tws","blas","2015-10-23",3.69883641341547,2015,10,"2022-03-05 15:39:00",198,1079.451376,66.4357723577236,"M",0.05,2,"oct","blaz","2012-02-02",1.817932923,"2015-10-15",0.496,0,10,10,"2018-04-27",NA,13.3943089430894,11,"2016-11-04",2,9,"11/24/16",80.5903,13,1096.683286,"","oct",0.015625,0,0,0.2625,0.378125,0.209375,0,0,0,320,0.13,8685715.30416667,"low",7.49032258064516,-0.0263763401446321
"gn","stel","2015-10-26",2.4394250513347,2015,10,"2022-03-05 12:26:00",199,3439.535755,898.490243902439,"F",0.84,24,"oct","sput","2013-05-07",2.223134839,"2015-10-15",20.124,12.9,1,40,"2018-01-11",NA,1.11619241192412,4,"2016-11-01",10,4,"11/18/16",3081.49,5,2496.03076,"","oct",0.00940438871473354,0.0282131661442006,0.0376175548589342,0.313479623824451,0.341692789968652,0.213166144200627,0,0,0,319,0.684,6099094.65192308,"low",7.49032258064516,0.235674539545462
"tws","peke","2015-10-26",4.79123887748118,2015,10,"2022-03-05 11:45:00",200,13667.42528,933.111343399148,"M",0.6,21,"oct","pans","2010-12-30",2.814510609,"2015-10-15",18.287,0.7,19,40,"2018-05-16",NA,1.27564847077042,4,"2016-11-01",5,7,"11/23/16",10714.1,10,12149.90554,"","oct",0,0.0125,0.015625,0.41875,0.203125,0.259375,0,0,2,320,0.174,8685715.30416667,"low",7.49032258064516,0.0700556781142176
"tws","blas","2015-10-26",3.69883641341547,2015,10,"2022-03-05 09:48:00",201,2645.476474,222.981758130081,"M",0.16,8,"oct","blaz","2012-02-02",1.817932923,"2015-10-15",6.659,20.1,10,10,"2018-04-27",NA,3.34857723577236,4,"2016-11-01",2,9,"11/24/16",790.03,13,3359.63469,"","oct",0.015625,0,0,0.2625,0.378125,0.209375,0,0,0,320,0.13,8685715.30416667,"low",7.49032258064516,-0.0563404399357238
"tws","fris","2015-10-26",6.63107460643395,2015,10,"2022-03-05 10:12:00",202,20003.15027,1947.08604336043,"M",0.24,3,"oct","flet","2009-02-26",1.418206708,"2015-10-15",21.805,6.5,10,10,"2018-04-27",NA,8.92953929539295,4,"2016-11-01",2,9,"11/24/16",2240.11,13,6350.772558,"","oct",0,0,0,0.4375,0.353125,0.15,0,0,1,320,0.625,8685715.30416667,"low",7.49032258064516,0.140505790303196
"twn","davi","2015-10-27",2.09719370294319,2015,10,"2022-03-05 12:00:00",203,2829.052175,NA,"F",0.03,4,"oct","didg","2013-09-09",1.349760438,"2015-10-15",NA,NA,NA,NA,NA,NA,6.69715447154472,11,"2016-11-04",2,9,"11/24/16",422.426,13,9580.713263,"","oct",0,0.0231788079470199,0.00993377483443709,0.374172185430464,0.258278145695364,0.188741721854305,0,0,0,302,1,5597218.68541667,"low",7.49032258064516,-0.0926958714141801
"tws","tesl","2015-10-27",2.61738535249829,2015,10,"2022-03-05 11:37:00",204,3540.837086,386.662789243277,"F",0.26,13,"oct","twin","2013-03-03",1.49486653,"2015-10-15",4.691,6.7,18,40,"2018-05-15",NA,2.06066291432145,4,"2016-11-01",5,7,"11/23/16",1718.3,10,4496.701907,"","oct",0,0.1,0.028125,0.290625,0.275,0.171875,0,0,1,320,1,8685715.30416667,"low",7.49032258064516,-0.0752814743047433
"twn","safi","2015-10-27",2.63381245722108,2015,10,"2022-03-05 11:52:00",205,1582.96622,336.866869918699,"F",0.1,8,"oct","saph","2013-02-25",1.741273101,"2015-10-15",2.515,4,18,40,"2018-05-15",NA,3.34857723577236,5,"2016-11-01",2,9,"11/24/16",472.728,13,3216.472059,"","oct",0,0.07,0.07,0.226666666666667,0.29,0.183333333333333,0,0,0,300,0.818,5597218.68541667,"low",7.49032258064516,-0.116340439935724
"twn","petr","2015-10-28",5.53319644079398,2015,10,"2022-03-05 11:03:00",206,4367.593936,461.240469738031,"F",0.72,36,"oct","park","2010-04-03",2.565366188,"2015-10-15",15.496,4.5,10,40,"2018-04-27",NA,0.74412827461608,5,"2016-11-01",10,4,"11/18/16",5869.41,5,5546.645471,"","oct",0,0.0266666666666667,0.0766666666666667,0.2,0.363333333333333,0.193333333333333,0,0,0,300,0.091,5597218.68541667,"low",7.49032258064516,-0.18939130959792
"tws","tesl","2015-10-28",2.61738535249829,2015,10,"2022-03-05 12:03:00",207,2180.422718,393.390853658537,"F",0.16,8,"oct","twin","2013-03-03",1.49486653,"2015-10-15",2.937,6.5,19,40,"2018-05-16",NA,3.34857723577236,5,"2016-11-01",2,9,"11/24/16",651.149,13,2769.037592,"","oct",0,0.1,0.028125,0.290625,0.275,0.171875,0,0,1,320,1,8685715.30416667,"low",7.49032258064516,-0.0563404399357238
"twn","kabu","2015-10-28",2.49144421629021,2015,10,"2022-03-05 12:00:00",208,1656.038872,NA,"F",0.2,12,"oct","kayl","2013-04-18",1.604380561,"2015-10-15",NA,NA,NA,NA,NA,NA,2.23238482384824,5,"2016-11-01",5,7,"11/23/16",741.825,10,2523.712774,"redo bc CVs too high?","oct",0.00940438871473354,0.0250783699059561,0.0188087774294671,0.31974921630094,0.25705329153605,0.203761755485893,0,0,2,319,0.455,5597218.68541667,"low",7.49032258064516,-0.111325683100531
"gn","mend","2015-10-28",5.69472963723477,2015,10,"2022-03-05 11:30:00",209,15371.73192,402.844415917843,"F",0.76,19,"oct","merl","2010-02-03",2.236824093,"2015-10-15",7.143,2,4,40,"2018-01-25",NA,1.40992725716731,5,"2016-11-01",5,7,"11/23/16",10902.5,10,9760.699882,"","oct",0,0.059375,0.065625,0.278125,0.3625,0.159375,0,0,0,320,0.737,6099094.65192308,"low",7.49032258064516,0.279224143000701
"gn","dext","2015-10-28",2.55989048596851,2015,10,"2022-03-05 12:18:00",210,1532.777744,389.827967479675,"M",0.18,10,"oct","dj","2013-03-24",1.80698152,"2015-10-15",3.638,12.8,5,40,"2018-01-25",NA,2.67886178861789,5,"2016-11-01",2,9,"11/24/16",572.175,13,2162.842175,"","oct",0.00625,0,0,0.30625,0.35625,0.240625,0,0,0,320,0.579,6099094.65192308,"low",7.49032258064516,-0.0836654771877196
"gn","ting","2015-10-28",4.73921971252567,2015,10,"2022-03-05 16:54:00",211,1543.290701,313.710473457676,"M",0.4,17,"oct","tang","2011-01-18",2.704996578,"2015-10-15",4.977,8.3,4,40,"2018-01-25",NA,1.57580105212817,5,"2016-11-01",5,7,"11/23/16",979.369,10,1665.922594,"","oct",0.021875,0.021875,0.01875,0.41875,0.278125,0.1625,0,1,1,320,0.526,6099094.65192308,"low",7.49032258064516,-0.0319425607736309
"gn","stel","2015-10-29",2.4394250513347,2015,10,"2022-03-05 12:22:00",212,2626.738792,395.859233449477,"F",0.62,21,"oct","sput","2013-05-07",2.223134839,"2015-10-15",7.758,10.8,1,40,"2018-01-11",NA,1.27564847077042,5,"2016-11-01",5,7,"11/23/16",2059.14,10,2259.761692,"","oct",0.00940438871473354,0.0282131661442006,0.0376175548589342,0.313479623824451,0.341692789968652,0.213166144200627,0,0,0,319,0.684,6099094.65192308,"low",7.49032258064516,0.0900556781142176
